Quarter,Time,Down,ToGo,Location,CLE,PIT,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Steelers won the coin toss and deferred, Browns to receive the opening kickoff.",,,2.0,2023,32
1.0,15:00,,,PIT 35,0.0,0.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,32
1.0,15:00,1.0,10.0,CLE 25,0.0,6.0,"Deshaun Watson pass short left (defended by Minkah Fitzpatrick) intended for Harrison Bryant is intercepted by Alex Highsmith at CLE-30 and returned for 30 yards, touchdown",0.61,-7.0,2.0,2023,32
1.0,14:51,,,CLE 15,0.0,7.0,Chris Boswell kicks extra point good,0.0,0.0,2.0,2023,32
1.0,14:51,,,PIT 35,0.0,7.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,32
1.0,14:51,1.0,10.0,CLE 25,0.0,7.0,Nick Chubb left guard for 3 yards (tackle by Chandon Sullivan and Cole Holcomb),0.61,0.47,2.0,2023,32
1.0,14:12,,,,,,Timeout #1 by Cleveland Browns,,,2.0,2023,32
1.0,14:12,2.0,7.0,CLE 28,0.0,7.0,Deshaun Watson pass complete short left to Elijah Moore for 6 yards (tackle by Minkah Fitzpatrick),0.47,0.56,2.0,2023,32
1.0,13:34,3.0,1.0,CLE 34,0.0,7.0,Deshaun Watson pass complete short right to Amari Cooper for 5 yards (tackle by Chandon Sullivan),0.56,1.53,2.0,2023,32
1.0,13:00,1.0,10.0,CLE 39,0.0,7.0,Nick Chubb left end for 6 yards (tackle by Alex Highsmith),1.53,1.8,2.0,2023,32
1.0,12:23,2.0,4.0,CLE 45,0.0,7.0,Deshaun Watson pass complete short right to David Bell for 14 yards (tackle by Minkah Fitzpatrick),1.8,2.85,2.0,2023,32
1.0,11:43,1.0,10.0,PIT 41,0.0,7.0,Deshaun Watson pass complete short left to Donovan Peoples-Jones for 7 yards (tackle by Minkah Fitzpatrick),2.85,3.25,2.0,2023,32
1.0,11:19,2.0,3.0,PIT 34,0.0,7.0,Deshaun Watson scrambles left end for 7 yards (tackle by Kwon Alexander),3.25,3.78,2.0,2023,32
1.0,10:44,1.0,10.0,PIT 27,0.0,7.0,Nick Chubb right guard for 3 yards (tackle by Damontae Kazee and Markus Golden),3.78,3.64,2.0,2023,32
1.0,10:00,2.0,7.0,PIT 24,0.0,7.0,"Nick Chubb up the middle for no gain (tackle by Markus Golden). Penalty on Dawand Jones: Offensive Holding, 10 yards (accepted) (no play)",3.64,2.29,2.0,2023,32
1.0,9:34,2.0,17.0,PIT 34,0.0,7.0,Nick Chubb right guard for 9 yards (tackle by Damontae Kazee and Cole Holcomb),2.29,2.81,2.0,2023,32
1.0,8:55,3.0,8.0,PIT 25,0.0,7.0,Deshaun Watson pass incomplete short right intended for Elijah Moore (defended by Joey Porter),2.81,1.8,2.0,2023,32
1.0,8:50,4.0,8.0,PIT 25,3.0,7.0,Dustin Hopkins 43 yard field goal good,1.8,3.0,2.0,2023,32
1.0,8:46,,,CLE 35,3.0,7.0,"Dustin Hopkins kicks off 56 yards, returned by Gunner Olszewski for no gain",0.0,-0.38,2.0,2023,32
1.0,8:46,1.0,10.0,PIT 9,3.0,7.0,Kenny Pickett pass complete short right to Allen Robinson for 7 yards,-0.38,-0.16,2.0,2023,32
1.0,8:16,2.0,3.0,PIT 16,3.0,7.0,Kenny Pickett pass incomplete short middle intended for Allen Robinson (defended by Denzel Ward),-0.16,-0.6,2.0,2023,32
1.0,8:12,3.0,3.0,PIT 16,3.0,7.0,Kenny Pickett pass short left intended for George Pickens is intercepted by Grant Delpit at PIT-19 and returned for no gain (tackle by Calvin Austin),-0.6,-4.31,2.0,2023,32
1.0,8:07,1.0,10.0,PIT 19,3.0,7.0,Deshaun Watson sacked by Larry Ogunjobi for -7 yards,4.31,2.82,2.0,2023,32
1.0,7:28,2.0,17.0,PIT 26,3.0,7.0,Deshaun Watson pass complete short middle to David Njoku for 1 yard (tackle by Minkah Fitzpatrick and Chandon Sullivan),2.82,2.28,2.0,2023,32
1.0,6:47,3.0,16.0,PIT 25,3.0,7.0,Deshaun Watson pass incomplete short left intended for Elijah Moore,2.28,1.8,2.0,2023,32
1.0,6:42,4.0,16.0,PIT 25,3.0,7.0,Dustin Hopkins 43 yard field goal no good,1.8,-1.14,2.0,2023,32
1.0,6:38,1.0,10.0,PIT 33,3.0,7.0,Najee Harris right end for -3 yards (tackle by Jeremiah Owusu-Koramoah),1.14,0.19,2.0,2023,32
1.0,6:05,2.0,13.0,PIT 30,3.0,7.0,Najee Harris left end for no gain (tackle by Greg Newsome),0.19,-0.49,2.0,2023,32
1.0,5:23,3.0,13.0,PIT 30,3.0,7.0,"Penalty on Chukwuma Okorafor: False Start, 5 yards (accepted) (no play)",-0.49,-1.15,2.0,2023,32
1.0,5:10,3.0,18.0,PIT 25,3.0,7.0,Kenny Pickett pass complete short right to Jaylen Warren for 15 yards (tackle by Denzel Ward and Juan Thornhill),-1.15,-0.72,2.0,2023,32
1.0,4:25,4.0,3.0,PIT 40,3.0,7.0,Pressley Harvin punts 55 yards downed by James Pierre,-0.72,0.38,2.0,2023,32
1.0,4:14,1.0,10.0,CLE 5,3.0,7.0,Nick Chubb right guard for 7 yards (tackle by Patrick Peterson and Keeanu Benton),-0.38,-0.27,2.0,2023,32
1.0,3:38,2.0,3.0,CLE 12,3.0,7.0,Nick Chubb right guard for -1 yards (tackle by T.J. Watt),-0.27,-0.72,2.0,2023,32
1.0,3:00,3.0,4.0,CLE 11,3.0,7.0,"Deshaun Watson pass complete deep right to Amari Cooper for 17 yards (tackle by Patrick Peterson). Penalty on Patrick Peterson: Defensive Pass Interference, 15 yards (declined)",-0.72,0.81,2.0,2023,32
1.0,2:43,1.0,10.0,CLE 28,3.0,7.0,Nick Chubb up the middle for 20 yards (tackle by Damontae Kazee),0.81,2.13,2.0,2023,32
1.0,2:02,1.0,10.0,CLE 48,3.0,7.0,Nick Chubb up the middle for 9 yards (tackle by Damontae Kazee),2.13,2.8,2.0,2023,32
1.0,1:20,2.0,1.0,PIT 43,3.0,7.0,Jerome Ford right tackle for no gain (tackle by DeMarvin Leal and Montravius Adams),2.8,2.08,2.0,2023,32
1.0,0:26,3.0,1.0,PIT 43,3.0,7.0,Deshaun Watson pass incomplete short left intended for Elijah Moore (defended by Keanu Neal),2.08,0.4,2.0,2023,32
1.0,0:25,4.0,1.0,PIT 43,3.0,7.0,"Deshaun Watson left guard for 1 yard (tackle by T.J. Watt and Alex Highsmith) PIT challenged the fumble ruling, and the original play was overturned. Deshaun Watson left guard for 1 yard. Deshaun Watson fumbles (forced by Montravius Adams), recovered by Larry Ogunjobi at PIT-42 (tackle by Larry Ogunjobi) (tackle by Montravius Adams) (tackle by Montravius Adams)",0.4,-1.73,2.0,2023,32
1.0,0:22,1.0,10.0,PIT 42,3.0,7.0,"Penalty on Chukwuma Okorafor: False Start, 5 yards (accepted) (no play)",1.73,1.4,2.0,2023,32
