Quarter,Time,Down,ToGo,Location,NOR,CAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Panthers won the coin toss and deferred, Saints to receive the opening kickoff.",,,2.0,2023,31
1.0,15:00,,,CAR 35,0.0,0.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,31
1.0,15:00,1.0,10.0,NOR 25,0.0,0.0,Jamaal Williams right tackle for 5 yards (tackle by Donte Jackson and Derrick Brown),0.61,0.74,2.0,2023,31
1.0,14:35,2.0,5.0,NOR 30,0.0,0.0,Jamaal Williams up the middle for 3 yards (tackle by Shaq Thompson),0.74,0.43,2.0,2023,31
1.0,13:58,3.0,2.0,NOR 33,0.0,0.0,Derek Carr pass complete short right to Michael Thomas for 6 yards (tackle by Troy Hill),0.43,1.53,2.0,2023,31
1.0,13:30,1.0,10.0,NOR 39,0.0,0.0,Jamaal Williams left guard for 4 yards (tackle by Frankie Luvu and Xavier Woods),1.53,1.53,2.0,2023,31
1.0,12:55,2.0,6.0,NOR 43,0.0,0.0,Derek Carr pass incomplete deep right intended for Chris Olave,1.53,0.83,2.0,2023,31
1.0,12:45,3.0,6.0,NOR 43,0.0,0.0,Derek Carr sacked by Frankie Luvu for -7 yards,0.83,-0.98,2.0,2023,31
1.0,12:02,4.0,13.0,NOR 36,0.0,0.0,Lou Hedley punts 29 yards out of bounds,-0.98,-1.27,2.0,2023,31
1.0,11:57,1.0,10.0,CAR 35,0.0,0.0,Bryce Young pass incomplete deep right intended for Miles Sanders,1.27,0.72,2.0,2023,31
1.0,11:52,2.0,10.0,CAR 35,0.0,0.0,Miles Sanders left guard for 13 yards (tackle by Marcus Maye),0.72,2.13,2.0,2023,31
1.0,11:17,1.0,10.0,CAR 48,0.0,0.0,Bryce Young pass complete short left to Adam Thielen for 6 yards (tackle by Pete Werner),2.13,2.39,2.0,2023,31
1.0,10:40,2.0,4.0,NOR 46,0.0,0.0,Miles Sanders left tackle for 1 yard (tackle by Pete Werner and Khalen Saunders),2.39,1.82,2.0,2023,31
1.0,9:56,3.0,3.0,NOR 45,0.0,0.0,Bryce Young pass complete short right to Adam Thielen for 6 yards (tackle by Khalen Saunders),1.82,2.98,2.0,2023,31
1.0,9:08,1.0,10.0,NOR 39,0.0,0.0,"Penalty on Chandler Zavala: False Start, 5 yards (accepted) (no play)",2.98,2.65,2.0,2023,31
1.0,8:48,1.0,15.0,NOR 44,0.0,0.0,Bryce Young sacked by Marcus Maye for no gain,2.65,1.77,2.0,2023,31
1.0,8:05,2.0,15.0,NOR 44,0.0,0.0,Bryce Young pass incomplete deep left,1.77,1.09,2.0,2023,31
1.0,7:52,3.0,15.0,NOR 44,0.0,0.0,Bryce Young pass complete short middle to Adam Thielen for 10 yards (tackle by Marcus Maye),1.09,1.07,2.0,2023,31
1.0,7:10,4.0,5.0,NOR 34,0.0,3.0,Eddy Pineiro 52 yard field goal good,1.07,3.0,2.0,2023,31
1.0,7:04,,,CAR 35,0.0,3.0,"Eddy Pineiro kicks off 65 yards, returned by Rashid Shaheed for 25 yards (tackle by Tommy Tremble and D'Shawn Jamison)",0.0,0.61,2.0,2023,31
1.0,7:00,1.0,10.0,NOR 25,0.0,3.0,"Derek Carr pass complete to Keith Kirkwood for 10 yards Replay Assistant challenged the pass completion ruling, and the original play was overturned. Derek Carr pass incomplete short right intended for Keith Kirkwood",0.61,0.06,2.0,2023,31
1.0,6:56,2.0,10.0,NOR 25,0.0,3.0,Tony Jones left guard for 5 yards (tackle by Vonn Bell),0.06,0.04,2.0,2023,31
1.0,6:38,3.0,5.0,NOR 30,0.0,3.0,"Derek Carr pass incomplete intended for Michael Thomas. Penalty on C.J. Henderson: Defensive Pass Interference, 6 yards (accepted) (no play)",0.04,1.33,2.0,2023,31
1.0,6:23,1.0,10.0,NOR 36,0.0,3.0,Derek Carr pass complete short left to Michael Thomas for 6 yards (tackle by C.J. Henderson),1.33,1.6,2.0,2023,31
1.0,5:52,2.0,4.0,NOR 42,0.0,3.0,Taysom Hill left end for 9 yards (tackle by C.J. Henderson),1.6,2.32,2.0,2023,31
1.0,5:37,1.0,10.0,CAR 49,0.0,3.0,Jamaal Williams up the middle for 7 yards (tackle by Shaq Thompson and Derrick Brown),2.32,2.73,2.0,2023,31
1.0,4:51,2.0,3.0,CAR 42,0.0,3.0,Derek Carr pass incomplete short right intended for Chris Olave (defended by Jeremy Chinn),2.73,2.02,2.0,2023,31
1.0,4:38,3.0,3.0,CAR 42,0.0,3.0,Derek Carr pass complete short left to Chris Olave for 3 yards (tackle by Vonn Bell),2.02,2.98,2.0,2023,31
1.0,4:07,1.0,10.0,CAR 39,0.0,3.0,Jamaal Williams left tackle for no gain (tackle by Donte Jackson),2.98,2.44,2.0,2023,31
1.0,3:33,2.0,10.0,CAR 39,0.0,3.0,Derek Carr pass complete short left to Foster Moreau for 14 yards (tackle by Donte Jackson),2.44,3.91,2.0,2023,31
1.0,2:57,1.0,10.0,CAR 25,0.0,3.0,Taysom Hill up the middle for 7 yards (tackle by Shaq Thompson),3.91,4.37,2.0,2023,31
1.0,2:34,2.0,3.0,CAR 18,0.0,3.0,Derek Carr pass complete short left to Michael Thomas for 4 yards (tackle by C.J. Henderson),4.37,4.65,2.0,2023,31
1.0,1:58,1.0,10.0,CAR 14,0.0,3.0,Derek Carr pass complete short right to Foster Moreau for 6 yards (tackle by Derrick Brown),4.65,5.09,2.0,2023,31
1.0,1:28,2.0,4.0,CAR 8,0.0,3.0,Jamaal Williams right tackle for -2 yards (tackle by Frankie Luvu and DeShawn Williams),5.09,3.82,2.0,2023,31
