Quarter,Time,Down,ToGo,Location,BAL,CIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bengals won the coin toss and deferred, Ravens to receive the opening kickoff.",,,2.0,2023,21
1.0,15:00,,,CIN 35,0.0,0.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,21
1.0,15:00,1.0,10.0,BAL 25,0.0,0.0,Lamar Jackson pass complete short right to Isaiah Likely for 8 yards (tackle by Germaine Pratt),0.61,1.14,2.0,2023,21
1.0,14:26,2.0,2.0,BAL 33,0.0,0.0,Justice Hill right end for 3 yards (tackle by Cam Taylor-Britt),1.14,1.33,2.0,2023,21
1.0,13:51,1.0,10.0,BAL 36,0.0,0.0,Lamar Jackson scrambles up the middle for 3 yards (tackle by D.J. Reader),1.33,1.2,2.0,2023,21
1.0,13:03,2.0,7.0,BAL 39,0.0,0.0,Lamar Jackson pass complete short left to Odell Beckham for 5 yards (tackle by Mike Hilton),1.2,1.16,2.0,2023,21
1.0,12:21,3.0,2.0,BAL 44,0.0,0.0,Lamar Jackson pass complete short middle to Mark Andrews for 9 yards (tackle by Germaine Pratt),1.16,2.46,2.0,2023,21
1.0,11:47,1.0,10.0,CIN 47,0.0,0.0,Lamar Jackson pass complete short right to Mark Andrews for 7 yards (tackle by Logan Wilson and Nick Scott),2.46,2.86,2.0,2023,21
1.0,10:59,2.0,3.0,CIN 40,0.0,0.0,Gus Edwards right tackle for 17 yards (tackle by Nick Scott),2.86,4.04,2.0,2023,21
1.0,10:28,1.0,10.0,CIN 23,0.0,0.0,Gus Edwards left guard for 2 yards (tackle by Logan Wilson and Josh Tupou),4.04,3.77,2.0,2023,21
1.0,9:51,2.0,8.0,CIN 21,0.0,0.0,"Lamar Jackson pass incomplete intended for Odell Beckham. Penalty on Cam Taylor-Britt: Defensive Holding, 5 yards (accepted) (no play)",3.77,4.51,2.0,2023,21
1.0,9:43,1.0,10.0,CIN 16,0.0,0.0,Justice Hill right end for 6 yards (tackle by Daxton Hill),4.51,4.97,2.0,2023,21
1.0,9:07,2.0,4.0,CIN 10,0.0,0.0,Justice Hill left tackle for no gain (tackle by Trey Hendrickson),4.97,4.17,2.0,2023,21
1.0,8:26,3.0,4.0,CIN 10,0.0,0.0,Lamar Jackson pass complete short middle to Odell Beckham for 9 yards (tackle by Logan Wilson),4.17,6.97,2.0,2023,21
1.0,7:50,1.0,1.0,CIN 1,0.0,0.0,Justice Hill right guard for no gain (tackle by Logan Wilson),6.97,5.91,2.0,2023,21
1.0,7:15,2.0,1.0,CIN 1,6.0,0.0,"Gus Edwards left guard for 1 yard, touchdown",5.91,7.0,2.0,2023,21
1.0,7:12,,,CIN 15,7.0,0.0,Justin Tucker kicks extra point good,0.0,0.0,2.0,2023,21
1.0,7:12,,,BAL 35,7.0,0.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,21
1.0,7:12,1.0,10.0,CIN 25,7.0,0.0,Joe Burrow pass complete short right to Tyler Boyd for 6 yards (tackle by Roquan Smith and Ar'Darius Washington),0.61,0.87,2.0,2023,21
1.0,6:34,2.0,4.0,CIN 31,7.0,0.0,"Joe Mixon left guard for no gain (tackle by Justin Madubuike). Penalty on Alex Cappa: Offensive Holding, 10 yards (accepted) (no play)",0.87,-0.48,2.0,2023,21
