Unnamed: 0,SFO,LAR,week,year,game_id
First Downs,21,28,2.0,2023,27
Rush-Yds-TDs,28-159-3,22-89-1,2.0,2023,27
Cmp-Att-Yd-TD-INT,17-25-206-0-0,34-55-307-1-2,2.0,2023,27
Sacked-Yards,1-0,1-10,2.0,2023,27
Net Pass Yards,206,297,2.0,2023,27
Total Yards,365,386,2.0,2023,27
Fumbles-Lost,2-0,0-0,2.0,2023,27
Turnovers,0,2,2.0,2023,27
Penalties-Yards,6-57,6-55,2.0,2023,27
Third Down Conv.,2-9,7-14,2.0,2023,27
Fourth Down Conv.,0-0,1-2,2.0,2023,27
Time of Possession,26:49,33:11,2.0,2023,27
