Unnamed: 0,IND,HOU,week,year,game_id
First Downs,19,24,2.0,2023,22
Rush-Yds-TDs,23-126-3,26-52-0,2.0,2023,22
Cmp-Att-Yd-TD-INT,25-33-227-1-0,30-47-384-2-0,2.0,2023,22
Sacked-Yards,0-0,6-47,2.0,2023,22
Net Pass Yards,227,337,2.0,2023,22
Total Yards,353,389,2.0,2023,22
Fumbles-Lost,1-0,3-1,2.0,2023,22
Turnovers,0,1,2.0,2023,22
Penalties-Yards,8-42,3-20,2.0,2023,22
Third Down Conv.,6-12,9-19,2.0,2023,22
Fourth Down Conv.,0-0,2-2,2.0,2023,22
Time of Possession,25:02,34:58,2.0,2023,22
