Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Tua Tagovailoa,MIA,4,3,0,4,2.0,2023,30
Raheem Mostert,MIA,18,121,2,43,2.0,2023,30
Salvon Ahmed,MIA,3,13,0,10,2.0,2023,30
De'Von Achane,MIA,1,5,0,5,2.0,2023,30
Erik Ezukanma,MIA,3,5,0,7,2.0,2023,30
Tyreek Hill,MIA,0,0,0,0,2.0,2023,30
River Cracraft,MIA,0,0,0,0,2.0,2023,30
Braxton Berrios,MIA,0,0,0,0,2.0,2023,30
Durham Smythe,MIA,0,0,0,0,2.0,2023,30
Jaylen Waddle,MIA,1,-2,0,-2,2.0,2023,30
Mac Jones,NWE,5,25,0,18,2.0,2023,30
Rhamondre Stevenson,NWE,15,50,1,12,2.0,2023,30
Ezekiel Elliott,NWE,5,13,0,7,2.0,2023,30
DeVante Parker,NWE,0,0,0,0,2.0,2023,30
Hunter Henry,NWE,0,0,0,0,2.0,2023,30
Mike Gesicki,NWE,0,0,0,0,2.0,2023,30
Kendrick Bourne,NWE,0,0,0,0,2.0,2023,30
JuJu Smith-Schuster,NWE,0,0,0,0,2.0,2023,30
Demario Douglas,NWE,0,0,0,0,2.0,2023,30
Cole Strange,NWE,0,0,0,0,2.0,2023,30
Ty Montgomery,NWE,0,0,0,0,2.0,2023,30
