#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,9:48,MIN 25,4,1:40,16,Punt,0,Vikings,2.0,2023,17
2,1,2:58,MIN 35,1,0:08,2,Fumble,0,Vikings,2.0,2023,17
3,1,0:42,MIN 45,9,5:03,55,Touchdown,0,Vikings,2.0,2023,17
4,2,2:44,MIN 25,8,2:10,74,Fumble,0,Vikings,2.0,2023,17
5,3,15:00,MIN 25,2,0:34,-10,Fumble,0,Vikings,2.0,2023,17
6,3,13:53,MIN 25,3,1:24,-5,Punt,0,Vikings,2.0,2023,17
7,3,10:54,MIN 25,5,1:45,75,Touchdown,0,Vikings,2.0,2023,17
8,3,6:19,MIN 30,3,1:00,6,Punt,0,Vikings,2.0,2023,17
9,4,11:19,MIN 14,9,3:38,86,Touchdown,0,Vikings,2.0,2023,17
10,4,4:13,MIN 25,10,3:03,75,Touchdown,0,Vikings,2.0,2023,17
11,4,0:07,MIN 17,1,0:07,0,End of Game,0,Vikings,2.0,2023,17
