Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Daniel Jones,NYG,0,0,0,0,0,2.0,2023,26
Saquon Barkley,NYG,7,6,29,1,10,2.0,2023,26
Matt Breida,NYG,0,0,0,0,0,2.0,2023,26
Jalin Hyatt,NYG,2,2,89,0,58,2.0,2023,26
Darren Waller,NYG,8,6,76,0,25,2.0,2023,26
Darius Slayton,NYG,6,3,62,0,29,2.0,2023,26
Isaiah Hodgins,NYG,5,4,40,1,12,2.0,2023,26
Parris Campbell,NYG,6,4,21,0,9,2.0,2023,26
Sterling Shepard,NYG,1,1,4,0,4,2.0,2023,26
Joshua Dobbs,ARI,0,0,0,0,0,2.0,2023,26
James Conner,ARI,1,0,0,0,0,2.0,2023,26
Keaontay Ingram,ARI,0,0,0,0,0,2.0,2023,26
Zach Ertz,ARI,8,6,56,0,17,2.0,2023,26
Michael Wilson,ARI,3,3,56,0,21,2.0,2023,26
Marquise Brown,ARI,10,6,54,1,22,2.0,2023,26
Trey McBride,ARI,3,2,32,0,23,2.0,2023,26
Rondale Moore,ARI,1,1,14,0,14,2.0,2023,26
Zach Pascal,ARI,1,1,9,0,9,2.0,2023,26
Emari Demercado,ARI,2,2,7,0,4,2.0,2023,26
