Unnamed: 0,LAC,TEN,week,year,game_id
First Downs,19,22,2.0,2023,25
Rush-Yds-TDs,21-61-0,34-141-2,2.0,2023,25
Cmp-Att-Yd-TD-INT,27-41-305-2-0,20-24-246-1-0,2.0,2023,25
Sacked-Yards,3-24,5-46,2.0,2023,25
Net Pass Yards,281,200,2.0,2023,25
Total Yards,342,341,2.0,2023,25
Fumbles-Lost,0-0,0-0,2.0,2023,25
Turnovers,0,0,2.0,2023,25
Penalties-Yards,4-43,7-45,2.0,2023,25
Third Down Conv.,2-14,6-13,2.0,2023,25
Fourth Down Conv.,3-3,0-1,2.0,2023,25
Time of Possession,28:09,36:49,2.0,2023,25
