Unnamed: 0,CHI,TAM,week,year,game_id
First Downs,14,19,2.0,2023,20
Rush-Yds-TDs,16-67-1,34-120-1,2.0,2023,20
Cmp-Att-Yd-TD-INT,16-29-211-1-2,26-34-317-1-0,2.0,2023,20
Sacked-Yards,6-42,0-0,2.0,2023,20
Net Pass Yards,169,317,2.0,2023,20
Total Yards,236,437,2.0,2023,20
Fumbles-Lost,2-0,2-0,2.0,2023,20
Turnovers,2,0,2.0,2023,20
Penalties-Yards,5-28,7-54,2.0,2023,20
Third Down Conv.,6-13,8-15,2.0,2023,20
Fourth Down Conv.,0-0,1-1,2.0,2023,20
Time of Possession,24:04,35:56,2.0,2023,20
