Unnamed: 0,GNB,ATL,week,year,game_id
First Downs,17,27,2.0,2023,18
Rush-Yds-TDs,21-84-0,45-211-1,2.0,2023,18
Cmp-Att-Yd-TD-INT,14-25-151-3-0,19-32-237-1-1,2.0,2023,18
Sacked-Yards,1-11,1-2,2.0,2023,18
Net Pass Yards,140,235,2.0,2023,18
Total Yards,224,446,2.0,2023,18
Fumbles-Lost,0-0,0-0,2.0,2023,18
Turnovers,0,1,2.0,2023,18
Penalties-Yards,7-40,6-110,2.0,2023,18
Third Down Conv.,3-9,6-15,2.0,2023,18
Fourth Down Conv.,0-1,3-4,2.0,2023,18
Time of Possession,23:45,36:15,2.0,2023,18
