Quarter,Time,Down,ToGo,Location,IND,HOU,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Texans won the coin toss and deferred, Colts to receive the opening kickoff.",,,2.0,2023,22
1.0,15:00,,,HOU 35,0.0,0.0,"Ka'imi Fairbairn kicks off 61 yards,",0.0,0.61,2.0,2023,22
1.0,15:00,1.0,10.0,IND 25,0.0,0.0,"Anthony Richardson pass complete short left to Michael Pittman for 12 yards. Michael Pittman fumbles, ball out of bounds at IND-37 (forced by M.J. Stewart). Michael Pittman fumbles out of bounds",0.61,1.4,2.0,2023,22
1.0,14:52,1.0,10.0,IND 37,0.0,0.0,Anthony Richardson pass incomplete short middle intended for Michael Pittman (defended by Steven Nelson),1.4,0.86,2.0,2023,22
1.0,14:31,2.0,10.0,IND 37,0.0,0.0,Anthony Richardson pass complete short right to Isaiah McKenzie for 7 yards (tackle by Derek Stingley),0.86,1.09,2.0,2023,22
1.0,14:01,3.0,3.0,IND 44,0.0,0.0,Anthony Richardson pass complete short middle to Kylen Granson for 11 yards (tackle by Eric Murray),1.09,2.59,2.0,2023,22
1.0,13:37,1.0,10.0,HOU 45,0.0,0.0,Zack Moss left tackle for 3 yards (tackle by Jerry Hughes and Denzel Perryman),2.59,2.45,2.0,2023,22
1.0,13:08,2.0,7.0,HOU 42,0.0,0.0,Anthony Richardson left end for 2 yards (tackle by Steven Nelson),2.45,2.01,2.0,2023,22
1.0,12:49,3.0,5.0,HOU 40,0.0,0.0,Anthony Richardson pass complete short left to Josh Downs for 5 yards (tackle by Henry To'oTo'o),2.01,3.25,2.0,2023,22
1.0,12:11,1.0,10.0,HOU 35,0.0,0.0,Zack Moss left tackle for 2 yards (tackle by Eric Murray and Michael Dogbe),3.25,2.97,2.0,2023,22
1.0,11:34,2.0,8.0,HOU 33,0.0,0.0,Anthony Richardson pass complete short left to Mo Alie-Cox for 15 yards (tackle by M.J. Stewart and Jonathan Greenard),2.97,4.37,2.0,2023,22
1.0,10:49,1.0,10.0,HOU 18,6.0,0.0,"Anthony Richardson up the middle for 18 yards, touchdown",4.37,7.0,2.0,2023,22
1.0,10:44,,,HOU 15,7.0,0.0,Matt Gay kicks extra point good,0.0,0.0,2.0,2023,22
1.0,10:44,,,IND 35,7.0,0.0,"Matt Gay kicks off 60 yards, returned by Devin Singletary for 13 yards (tackle by Tony Brown)",0.0,0.04,2.0,2023,22
1.0,10:41,1.0,10.0,HOU 18,7.0,0.0,Dameon Pierce left tackle for -3 yards (tackle by Samson Ebukam),0.04,-0.93,2.0,2023,22
1.0,10:03,2.0,13.0,HOU 15,7.0,0.0,C.J. Stroud pass complete short left to Tank Dell for 8 yards (tackle by Dallis Flowers),-0.93,-0.53,2.0,2023,22
1.0,9:23,3.0,5.0,HOU 23,7.0,0.0,"C.J. Stroud sacked by Samson Ebukam for -8 yards IND challenged the runner was down by contact ruling, and the original play was overturned. C.J. Stroud sacked by Samson Ebukam for -8 yards. C.J. Stroud fumbles (forced by Dayo Odeyingbo) (tackle by Samson Ebukam), recovered by Kwity Paye at HOU-15 (tackle by Dayo Odeyingbo) (tackle by Samson Ebukam) (tackle by Dayo Odeyingbo)",-0.53,-4.58,2.0,2023,22
1.0,9:18,1.0,10.0,HOU 15,13.0,0.0,"Anthony Richardson right end for 15 yards, touchdown",4.58,7.0,2.0,2023,22
1.0,9:13,,,HOU 15,14.0,0.0,Matt Gay kicks extra point good,0.0,0.0,2.0,2023,22
1.0,9:13,,,IND 35,14.0,0.0,"Matt Gay kicks off 57 yards, returned by Devin Singletary for 24 yards (tackle by Segun Olubi)",0.0,1.07,2.0,2023,22
1.0,9:08,1.0,10.0,HOU 32,14.0,0.0,Dameon Pierce left tackle for 1 yard (tackle by Grover Stewart),1.07,0.66,2.0,2023,22
1.0,8:36,2.0,9.0,HOU 33,14.0,0.0,Dameon Pierce left tackle for 5 yards (tackle by Dayo Odeyingbo and Julian Blackmon),0.66,0.63,2.0,2023,22
1.0,7:57,3.0,4.0,HOU 38,14.0,0.0,C.J. Stroud pass complete short middle to Nico Collins for 28 yards (tackle by Rodney Thomas),0.63,3.31,2.0,2023,22
