Quarter,Time,Down,ToGo,Location,MIN,PHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Vikings won the coin toss and deferred, Eagles to receive the opening kickoff.",,,2.0,2023,17
1.0,15:00,,,MIN 35,0.0,0.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,17
1.0,15:00,1.0,10.0,PHI 25,0.0,0.0,Jalen Hurts pass complete short right to DeVonta Smith for 6 yards (tackle by Byron Murphy and Camryn Bynum),0.61,0.87,2.0,2023,17
1.0,14:28,2.0,4.0,PHI 31,0.0,0.0,Jalen Hurts sacked by and Ivan Pace for -1 yards and Harrison Phillips for -1 yards,0.87,0.04,2.0,2023,17
1.0,13:47,3.0,5.0,PHI 30,0.0,0.0,Jalen Hurts scrambles right end for 7 yards (tackle by Harrison Phillips),0.04,1.4,2.0,2023,17
1.0,13:12,1.0,10.0,PHI 37,0.0,0.0,Jalen Hurts pass complete short left to Dallas Goedert for -1 yards (tackle by Camryn Bynum),1.4,0.72,2.0,2023,17
1.0,12:29,2.0,11.0,PHI 36,0.0,0.0,Jalen Hurts pass complete deep right to DeVonta Smith for 54 yards (tackle by Theo Jackson),0.72,4.91,2.0,2023,17
1.0,11:52,1.0,10.0,MIN 10,0.0,0.0,Jalen Hurts pass complete short left to A.J. Brown for 1 yard (tackle by Theo Jackson and Camryn Bynum),4.91,4.38,2.0,2023,17
1.0,11:13,2.0,9.0,MIN 9,0.0,0.0,D'Andre Swift right guard for 1 yard (tackle by Harrison Phillips and D.J. Wonnum),4.38,3.58,2.0,2023,17
1.0,10:35,3.0,8.0,MIN 8,0.0,0.0,Jalen Hurts right tackle for 2 yards (tackle by Jordan Hicks and Camryn Bynum),3.58,2.99,2.0,2023,17
1.0,9:51,4.0,6.0,MIN 6,0.0,3.0,Jake Elliott 24 yard field goal good,2.99,3.0,2.0,2023,17
1.0,9:48,,,PHI 35,0.0,3.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,17
1.0,9:48,1.0,10.0,MIN 25,0.0,3.0,Kirk Cousins pass complete deep right to Justin Jefferson for 15 yards (tackle by Darius Slay),0.61,1.6,2.0,2023,17
1.0,9:10,1.0,10.0,MIN 40,0.0,3.0,Kirk Cousins pass complete short right to Justin Jefferson for 1 yard (tackle by Darius Slay),1.6,1.19,2.0,2023,17
1.0,8:27,2.0,9.0,MIN 41,0.0,3.0,Kirk Cousins pass incomplete short right intended for Alexander Mattison,1.19,0.5,2.0,2023,17
1.0,8:24,3.0,9.0,MIN 41,0.0,3.0,Kirk Cousins pass incomplete short middle intended for K.J. Osborn,0.5,-0.65,2.0,2023,17
1.0,8:20,4.0,9.0,MIN 41,0.0,3.0,"Ryan Wright punts 51 yards, returned by Britain Covey for 2 yards. Britain Covey fumbles (forced by Troy Dye), recovered by Kelee Ringo at PHI-10 (tackle by Troy Dye)",-0.65,0.38,2.0,2023,17
1.0,8:08,1.0,10.0,PHI 10,0.0,3.0,Jalen Hurts pass incomplete deep right intended for Dallas Goedert,-0.38,-0.78,2.0,2023,17
1.0,8:02,2.0,10.0,PHI 10,0.0,3.0,Jalen Hurts pass complete short right to Dallas Goedert for 6 yards (tackle by Harrison Smith),-0.78,-0.72,2.0,2023,17
1.0,7:23,3.0,4.0,PHI 16,0.0,3.0,"Penalty on Lane Johnson: False Start, 5 yards (accepted) (no play)",-0.72,-1.3,2.0,2023,17
1.0,7:04,3.0,9.0,PHI 11,0.0,3.0,Jalen Hurts scrambles right tackle for 3 yards (tackle by D.J. Wonnum and Jordan Hicks),-1.3,-2.47,2.0,2023,17
1.0,6:12,4.0,6.0,PHI 14,0.0,3.0,"Arryn Siposs punts 40 yards, returned by Brandon Powell for 20 yards. Brandon Powell fumbles (forced by Justin Evans), recovered by Nicholas Morrow at PHI-27 (tackle by Justin Evans)",-2.47,0.74,2.0,2023,17
1.0,6:09,1.0,10.0,PHI 27,0.0,3.0,D'Andre Swift left guard for 7 yards (tackle by Harrison Smith),0.74,1.14,2.0,2023,17
1.0,5:54,2.0,3.0,PHI 34,0.0,3.0,D'Andre Swift right guard for 4 yards (tackle by Camryn Bynum and Ivan Pace),1.14,1.47,2.0,2023,17
1.0,5:16,1.0,10.0,PHI 38,0.0,3.0,D'Andre Swift right end for 12 yards (tackle by Jordan Hicks),1.47,2.26,2.0,2023,17
1.0,4:30,1.0,10.0,PHI 50,0.0,3.0,Jalen Hurts sacked by Danielle Hunter for -7 yards,2.26,0.77,2.0,2023,17
1.0,3:50,2.0,17.0,PHI 43,0.0,3.0,Jalen Hurts pass complete short left to Dallas Goedert for 1 yard (tackle by Theo Jackson and Akayleb Evans),0.77,0.23,2.0,2023,17
1.0,3:06,3.0,16.0,PHI 44,0.0,3.0,Jalen Hurts pass deep middle intended for DeVonta Smith is intercepted by Theo Jackson at MIN-35 and returned for no gain (tackle by DeVonta Smith),0.23,-1.27,2.0,2023,17
