Quarter,Time,Tm,Detail,BAL,CIN,week,year,game_id
1.0,7:12,Ravens,Gus Edwards 1 yard rush (Justin Tucker kick),7,0,2.0,2023,21
2.0,13:14,Bengals,Charlie Jones 81 yard punt return (Evan McPherson kick),7,7,2.0,2023,21
,9:15,Ravens,Justin Tucker 44 yard field goal,10,7,2.0,2023,21
,3:01,Bengals,Evan McPherson 27 yard field goal,10,10,2.0,2023,21
,0:00,Ravens,Justin Tucker 40 yard field goal,13,10,2.0,2023,21
3.0,8:39,Ravens,Mark Andrews 3 yard pass from Lamar Jackson (Justin Tucker kick),20,10,2.0,2023,21
,2:34,Bengals,Tee Higgins 3 yard pass from Joe Burrow (Evan McPherson kick),20,17,2.0,2023,21
4.0,11:38,Ravens,Nelson Agholor 17 yard pass from Lamar Jackson (Justin Tucker kick),27,17,2.0,2023,21
,3:28,Bengals,Tee Higgins 4 yard pass from Joe Burrow (Evan McPherson kick),27,24,2.0,2023,21
