Quarter,Time,Down,ToGo,Location,NYJ,DAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,,2.0,2023,28
1.0,15:00,,,NYJ 35,0.0,0.0,"Austin Seibert kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,28
1.0,15:00,1.0,10.0,DAL 25,0.0,0.0,Tony Pollard right end for 4 yards (tackle by Michael Carter),0.61,0.6,2.0,2023,28
1.0,14:32,2.0,6.0,DAL 29,0.0,0.0,Tony Pollard up the middle for 8 yards (tackle by C.J. Mosley),0.6,1.4,2.0,2023,28
1.0,14:03,1.0,10.0,DAL 37,0.0,0.0,Dak Prescott pass complete short right to Tony Pollard for 4 yards (tackle by Quincy Williams),1.4,1.4,2.0,2023,28
1.0,13:41,2.0,6.0,DAL 41,0.0,0.0,Rico Dowdle up the middle for 4 yards (tackle by John Franklin-Myers),1.4,1.22,2.0,2023,28
1.0,13:05,3.0,2.0,DAL 45,0.0,0.0,Dak Prescott pass complete short left to CeeDee Lamb for 6 yards (tackle by C.J. Mosley),1.22,2.32,2.0,2023,28
1.0,12:31,1.0,10.0,NYJ 49,0.0,0.0,"Dak Prescott pass complete deep left to CeeDee Lamb for 25 yards (tackle by Tony Adams). Penalty on D.J. Reed: Defensive Holding, 5 yards (declined)",2.32,3.97,2.0,2023,28
1.0,12:17,1.0,10.0,NYJ 24,0.0,0.0,Tony Pollard right tackle for 2 yards (tackle by Solomon Thomas),3.97,3.7,2.0,2023,28
1.0,11:49,2.0,8.0,NYJ 22,0.0,0.0,Dak Prescott pass complete short middle to Tony Pollard for 2 yards (tackle by Quincy Williams),3.7,3.27,2.0,2023,28
1.0,11:10,3.0,6.0,NYJ 20,0.0,0.0,Dak Prescott scrambles left end for 15 yards (tackle by Tony Adams),3.27,6.06,2.0,2023,28
1.0,10:29,1.0,5.0,NYJ 5,0.0,0.0,Tony Pollard up the middle for 2 yards (tackle by Quinnen Williams),6.06,5.53,2.0,2023,28
1.0,10:00,2.0,3.0,NYJ 3,0.0,0.0,Tony Pollard left tackle for -1 yards (tackle by Quinnen Williams and Micheal Clemons),5.53,4.49,2.0,2023,28
