Quarter,Time,Down,ToGo,Location,MIA,NWE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss and deferred, Patriots to receive the opening kickoff.",,,2.0,2023,30
1.0,15:00,,,MIA 35,0.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,30
1.0,15:00,1.0,10.0,NWE 25,0.0,0.0,Mac Jones pass complete short middle to Mike Gesicki for 5 yards (tackle by Jerome Baker and Andrew Van Ginkel),0.61,0.74,2.0,2023,30
1.0,14:24,2.0,5.0,NWE 30,0.0,0.0,Mac Jones pass complete short right to DeVante Parker for 4 yards (tackle by Xavien Howard and Jerome Baker),0.74,0.56,2.0,2023,30
1.0,13:54,3.0,1.0,NWE 34,0.0,0.0,Rhamondre Stevenson right end for 6 yards (tackle by DeShon Elliott),0.56,1.6,2.0,2023,30
1.0,13:26,1.0,10.0,NWE 40,0.0,0.0,Rhamondre Stevenson up the middle for 8 yards (tackle by DeShon Elliott and Andrew Van Ginkel),1.6,2.13,2.0,2023,30
1.0,12:54,2.0,2.0,NWE 48,0.0,0.0,Mac Jones pass complete short left to Demario Douglas for 9 yards (tackle by DeShon Elliott),2.13,2.72,2.0,2023,30
1.0,12:11,1.0,10.0,MIA 43,0.0,0.0,Rhamondre Stevenson up the middle for -2 yards (tackle by Bradley Chubb),2.72,1.91,2.0,2023,30
1.0,11:43,2.0,12.0,MIA 45,0.0,0.0,Mac Jones sacked by David Long for -9 yards,1.91,0.04,2.0,2023,30
1.0,11:05,3.0,21.0,NWE 46,0.0,0.0,Mac Jones pass complete short left to Rhamondre Stevenson for no gain (tackle by Zach Sieler),0.04,-0.32,2.0,2023,30
1.0,10:19,4.0,21.0,NWE 46,0.0,0.0,"Bryce Baringer punts 39 yards, fair catch by Braxton Berrios at MIA-15",-0.32,0.22,2.0,2023,30
1.0,10:13,1.0,10.0,MIA 15,0.0,0.0,Raheem Mostert left end for 3 yards (tackle by Jabrill Peppers and Jahlani Tavai),-0.22,-0.28,2.0,2023,30
1.0,9:37,2.0,7.0,MIA 18,0.0,0.0,Tua Tagovailoa scrambles up the middle for 4 yards (tackle by Christian Barmore),-0.28,-0.51,2.0,2023,30
1.0,8:51,3.0,3.0,MIA 22,0.0,0.0,Tua Tagovailoa pass complete short left to Braxton Berrios for 10 yards (tackle by Jahlani Tavai),-0.51,1.07,2.0,2023,30
1.0,8:10,1.0,10.0,MIA 32,0.0,0.0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 11 yards (tackle by Marcus Jones and Jabrill Peppers),1.07,1.8,2.0,2023,30
1.0,7:39,1.0,10.0,MIA 43,0.0,0.0,Raheem Mostert left end for 3 yards (tackle by Marcus Jones),1.8,1.66,2.0,2023,30
1.0,7:00,2.0,7.0,MIA 46,0.0,0.0,Raheem Mostert left end for 10 yards (tackle by Jabrill Peppers),1.66,2.65,2.0,2023,30
1.0,6:21,1.0,10.0,NWE 44,0.0,0.0,Tua Tagovailoa pass complete short right to Raheem Mostert for 6 yards (tackle by Marcus Jones),2.65,2.92,2.0,2023,30
1.0,5:46,2.0,4.0,NWE 38,0.0,0.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 15 yards (tackle by Myles Bryant),2.92,4.04,2.0,2023,30
1.0,5:08,1.0,10.0,NWE 23,0.0,0.0,Tua Tagovailoa pass complete short middle to Salvon Ahmed for 19 yards (tackle by Christian Gonzalez),4.04,6.28,2.0,2023,30
1.0,4:33,1.0,4.0,NWE 4,0.0,0.0,Raheem Mostert up the middle for 1 yard (tackle by Lawrence Guy and Marte Mapu),6.28,5.53,2.0,2023,30
1.0,3:53,2.0,3.0,NWE 3,0.0,0.0,Erik Ezukanma left tackle for -1 yards (tackle by Myles Bryant and Jahlani Tavai),5.53,4.49,2.0,2023,30
1.0,3:09,3.0,4.0,NWE 4,0.0,0.0,Tua Tagovailoa pass incomplete short right,4.49,3.03,2.0,2023,30
1.0,3:04,4.0,4.0,NWE 4,3.0,0.0,Jason Sanders 23 yard field goal good,3.03,3.0,2.0,2023,30
1.0,3:00,,,MIA 35,3.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,30
1.0,3:00,1.0,10.0,NWE 25,3.0,0.0,Ezekiel Elliott left end for 2 yards (tackle by Christian Wilkins),0.61,0.33,2.0,2023,30
1.0,2:27,2.0,8.0,NWE 27,3.0,0.0,Mac Jones pass complete short left to Kendrick Bourne for 5 yards (tackle by Eli Apple),0.33,0.3,2.0,2023,30
1.0,1:59,3.0,3.0,NWE 32,3.0,0.0,"Mac Jones pass complete short left to DeVante Parker for 11 yards (tackle by Eli Apple). Penalty on Eli Apple: Defensive Holding, 5 yards (declined)",0.3,1.8,2.0,2023,30
1.0,1:40,1.0,10.0,NWE 43,3.0,0.0,Mac Jones pass complete short right to Hunter Henry for 9 yards (tackle by Jevon Holland),1.8,2.47,2.0,2023,30
1.0,1:18,2.0,1.0,MIA 48,3.0,0.0,Ezekiel Elliott right guard for 7 yards (tackle by Jerome Baker and Raekwon Davis),2.47,2.85,2.0,2023,30
