Unnamed: 0,LVR,BUF,week,year,game_id
First Downs,13,29,2.0,2023,19
Rush-Yds-TDs,15-55-0,35-183-2,2.0,2023,19
Cmp-Att-Yd-TD-INT,16-24-185-1-2,31-37-274-3-0,2.0,2023,19
Sacked-Yards,0-0,2-7,2.0,2023,19
Net Pass Yards,185,267,2.0,2023,19
Total Yards,240,450,2.0,2023,19
Fumbles-Lost,1-1,0-0,2.0,2023,19
Turnovers,3,0,2.0,2023,19
Penalties-Yards,2-30,4-30,2.0,2023,19
Third Down Conv.,3-7,7-13,2.0,2023,19
Fourth Down Conv.,0-0,3-4,2.0,2023,19
Time of Possession,19:56,40:04,2.0,2023,19
