Unnamed: 0,CLE,PIT,week,year,game_id
First Downs,20,9,2.0,2023,32
Rush-Yds-TDs,35-198-1,21-55-0,2.0,2023,32
Cmp-Att-Yd-TD-INT,22-40-235-1-1,15-30-222-1-1,2.0,2023,32
Sacked-Yards,6-25,2-22,2.0,2023,32
Net Pass Yards,210,200,2.0,2023,32
Total Yards,408,255,2.0,2023,32
Fumbles-Lost,4-3,1-1,2.0,2023,32
Turnovers,4,2,2.0,2023,32
Penalties-Yards,8-81,5-31,2.0,2023,32
Third Down Conv.,5-16,4-14,2.0,2023,32
Fourth Down Conv.,0-2,0-0,2.0,2023,32
Time of Possession,35:28,24:32,2.0,2023,32
