Unnamed: 0,NYG,ARI,week,year,game_id
First Downs,26,24,2.0,2023,26
Rush-Yds-TDs,27-127-2,29-151-2,2.0,2023,26
Cmp-Att-Yd-TD-INT,26-37-321-2-1,21-31-228-1-0,2.0,2023,26
Sacked-Yards,3-9,0-0,2.0,2023,26
Net Pass Yards,312,228,2.0,2023,26
Total Yards,439,379,2.0,2023,26
Fumbles-Lost,0-0,0-0,2.0,2023,26
Turnovers,1,0,2.0,2023,26
Penalties-Yards,9-75,8-57,2.0,2023,26
Third Down Conv.,7-12,4-10,2.0,2023,26
Fourth Down Conv.,1-1,0-0,2.0,2023,26
Time of Possession,29:23,30:37,2.0,2023,26
