Quarter,Time,Down,ToGo,Location,SFO,LAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Rams won the coin toss and deferred, 49ers to receive the opening kickoff.",,,2.0,2023,27
1.0,15:00,,,LAR 35,0.0,0.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,27
1.0,15:00,1.0,10.0,SFO 25,0.0,0.0,Christian McCaffrey up the middle for 7 yards (tackle by Ernest Jones and Ahkello Witherspoon),0.61,1.01,2.0,2023,27
1.0,14:19,2.0,3.0,SFO 32,0.0,0.0,Brock Purdy pass complete short left to George Kittle for 6 yards (tackle by John Johnson),1.01,1.47,2.0,2023,27
1.0,13:38,1.0,10.0,SFO 38,0.0,0.0,Brock Purdy pass complete short right to Christian McCaffrey for 9 yards (tackle by Michael Hoecht),1.47,2.14,2.0,2023,27
1.0,13:00,2.0,1.0,SFO 47,0.0,0.0,Christian McCaffrey up the middle for 2 yards (tackle by Ernest Jones),2.14,2.19,2.0,2023,27
1.0,12:22,1.0,10.0,SFO 49,0.0,0.0,Christian McCaffrey right end for 1 yard (tackle by Jonah Williams),2.19,1.78,2.0,2023,27
1.0,11:42,2.0,9.0,LAR 50,0.0,0.0,Brock Purdy pass complete short left to Brandon Aiyuk for 12 yards (tackle by Derion Kendrick and Ernest Jones),1.78,3.05,2.0,2023,27
1.0,10:59,1.0,10.0,LAR 38,0.0,0.0,Christian McCaffrey up the middle for 2 yards (tackle by Jonah Williams and Michael Hoecht),3.05,2.78,2.0,2023,27
1.0,10:19,2.0,8.0,LAR 36,0.0,0.0,Brock Purdy pass complete short right to Deebo Samuel for 1 yard (tackle by Michael Hoecht),2.78,2.21,2.0,2023,27
1.0,9:33,,,,,,Timeout #1 by San Francisco 49ers,,,2.0,2023,27
1.0,9:33,3.0,7.0,LAR 35,0.0,0.0,Brock Purdy pass complete short left to Brandon Aiyuk for 13 yards (tackle by Quentin Lake),2.21,4.11,2.0,2023,27
1.0,9:19,1.0,10.0,LAR 22,0.0,0.0,Brock Purdy pass complete short right to Deebo Samuel for 8 yards (tackle by Jordan Fuller and Ernest Jones),4.11,4.85,2.0,2023,27
1.0,8:31,2.0,2.0,LAR 14,6.0,0.0,"Christian McCaffrey right guard for 14 yards, touchdown",4.85,7.0,2.0,2023,27
1.0,8:25,,,LAR 15,7.0,0.0,Jake Moody kicks extra point good,0.0,0.0,2.0,2023,27
1.0,8:25,,,SFO 35,7.0,0.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,27
1.0,8:25,1.0,10.0,LAR 25,7.0,0.0,Matthew Stafford scrambles left end for 3 yards (tackle by Arik Armstead),0.61,0.47,2.0,2023,27
1.0,7:44,2.0,7.0,LAR 28,7.0,0.0,Matthew Stafford pass complete short left to Puka Nacua for 6 yards (tackle by Ambry Thomas),0.47,0.56,2.0,2023,27
1.0,7:35,3.0,1.0,LAR 34,7.0,0.0,Kyren Williams up the middle for 2 yards (tackle by Fred Warner),0.56,1.33,2.0,2023,27
1.0,6:40,1.0,10.0,LAR 36,7.0,0.0,Matthew Stafford pass complete short right to Tutu Atwell for 11 yards (tackle by Charvarius Ward),1.33,2.06,2.0,2023,27
1.0,6:04,1.0,10.0,LAR 47,7.0,0.0,Matthew Stafford pass complete short left to Tutu Atwell for 15 yards (tackle by Ambry Thomas),2.06,3.05,2.0,2023,27
1.0,5:23,1.0,10.0,SFO 38,7.0,0.0,Matthew Stafford pass complete short left to Puka Nacua for 5 yards (tackle by Ambry Thomas),3.05,3.18,2.0,2023,27
1.0,4:37,,,,,,Timeout #1 by Los Angeles Rams,,,2.0,2023,27
1.0,4:37,2.0,5.0,SFO 33,7.0,0.0,Kyren Williams right end for 6 yards (tackle by Dre Greenlaw),3.18,3.78,2.0,2023,27
1.0,3:56,1.0,10.0,SFO 27,7.0,0.0,"Matthew Stafford pass complete short middle to Van Jefferson for no gain (tackle by Dre Greenlaw). Penalty on Tyler Higbee: Offensive Holding, 10 yards (accepted) (no play)",3.78,3.12,2.0,2023,27
1.0,3:22,1.0,20.0,SFO 37,7.0,0.0,Matthew Stafford pass incomplete short right intended for Kyren Williams,3.12,1.88,2.0,2023,27
1.0,3:18,2.0,20.0,SFO 37,7.0,0.0,Matthew Stafford scrambles up the middle for 7 yards (tackle by Javon Hargrave and Dre Greenlaw),1.88,2.15,2.0,2023,27
1.0,2:35,3.0,13.0,SFO 30,7.0,0.0,Matthew Stafford pass complete short left to Puka Nacua for 5 yards (tackle by Drake Jackson),2.15,1.8,2.0,2023,27
1.0,2:00,4.0,8.0,SFO 25,7.0,3.0,Brett Maher 43 yard field goal good,1.8,3.0,2.0,2023,27
1.0,1:54,,,LAR 35,7.0,3.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,27
1.0,1:54,1.0,10.0,SFO 25,7.0,3.0,Christian McCaffrey left end for 3 yards (tackle by Jonah Williams),0.61,0.47,2.0,2023,27
1.0,1:17,2.0,7.0,SFO 28,7.0,3.0,Brock Purdy pass complete short middle to Deebo Samuel for 8 yards (tackle by Russ Yeast),0.47,1.33,2.0,2023,27
1.0,0:34,1.0,10.0,SFO 36,7.0,3.0,Christian McCaffrey left end for 51 yards (tackle by Ahkello Witherspoon),1.33,4.71,2.0,2023,27
2.0,15:00,1.0,10.0,LAR 13,7.0,3.0,Christian McCaffrey left end for 1 yard (tackle by Derion Kendrick and Christian Rozeboom),4.71,4.22,2.0,2023,27
2.0,14:15,2.0,9.0,LAR 12,7.0,3.0,Christian McCaffrey up the middle for 3 yards (tackle by Ernest Jones and Byron Young),4.22,3.88,2.0,2023,27
2.0,13:39,3.0,6.0,LAR 9,7.0,3.0,"Brock Purdy pass complete to Brandon Aiyuk for 3 yards LAR challenged the pass completion ruling, and the original play was overturned. Brock Purdy pass incomplete short right intended for Brandon Aiyuk (defended by Cobie Durant)",3.88,2.85,2.0,2023,27
2.0,13:35,4.0,6.0,LAR 9,10.0,3.0,Jake Moody 27 yard field goal good,2.85,3.0,2.0,2023,27
2.0,13:32,,,SFO 35,10.0,3.0,"Jake Moody kicks off 57 yards, out of bounds",0.0,1.6,2.0,2023,27
2.0,13:32,1.0,10.0,LAR 40,10.0,3.0,Matthew Stafford pass incomplete short middle intended for Puka Nacua (defended by Charvarius Ward),1.6,1.05,2.0,2023,27
2.0,13:28,2.0,10.0,LAR 40,10.0,3.0,Matthew Stafford pass complete short right to Tyler Higbee for 6 yards,1.05,1.16,2.0,2023,27
2.0,12:54,3.0,4.0,LAR 46,10.0,3.0,Matthew Stafford pass complete short left to Puka Nacua for 20 yards (tackle by Deommodore Lenoir),1.16,3.31,2.0,2023,27
2.0,12:16,1.0,10.0,SFO 34,10.0,3.0,Matthew Stafford pass complete short right to Kyren Williams for 10 yards (tackle by Dre Greenlaw),3.31,3.97,2.0,2023,27
