Quarter,Time,Down,ToGo,Location,KAN,JAX,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chiefs won the coin toss and deferred, Jaguars to receive the opening kickoff.",,,2.0,2023,24
1.0,15:00,,,KAN 35,0.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,24
1.0,15:00,1.0,10.0,JAX 25,0.0,0.0,Travis Etienne left guard for 1 yard (tackle by Michael Danna and Derrick Nnadi),0.61,0.2,2.0,2023,24
1.0,14:29,2.0,9.0,JAX 26,0.0,0.0,Trevor Lawrence pass complete short right to Christian Kirk for 5 yards (tackle by Leo Chenal),0.2,0.17,2.0,2023,24
1.0,13:46,3.0,4.0,JAX 31,0.0,0.0,Trevor Lawrence pass complete short left to Calvin Ridley for 6 yards (tackle by L'Jarius Sneed),0.17,1.4,2.0,2023,24
1.0,13:00,1.0,10.0,JAX 37,0.0,0.0,Trevor Lawrence pass complete short right to Evan Engram for 17 yards (tackle by Nick Bolton),1.4,2.52,2.0,2023,24
1.0,12:14,1.0,10.0,KAN 46,0.0,0.0,Travis Etienne up the middle for 4 yards (tackle by Derrick Nnadi and Drue Tranquill),2.52,2.52,2.0,2023,24
1.0,11:35,2.0,6.0,KAN 42,0.0,0.0,Trevor Lawrence pass incomplete short middle intended for Calvin Ridley (defended by Bryan Cook),2.52,1.82,2.0,2023,24
1.0,11:31,3.0,6.0,KAN 42,0.0,0.0,Trevor Lawrence sacked by and George Karlaftis for -4 yards and Michael Danna for -4 yards,1.82,0.2,2.0,2023,24
1.0,10:59,4.0,10.0,KAN 46,0.0,0.0,"Logan Cooke punts 36 yards, fair catch by Richie James at KC-10",0.2,0.38,2.0,2023,24
1.0,10:52,1.0,10.0,KAN 10,0.0,0.0,Isiah Pacheco right end for 4 yards (tackle by Roy Robertson-Harris and Adam Gotsis),-0.38,-0.46,2.0,2023,24
1.0,10:16,2.0,6.0,KAN 14,0.0,0.0,Patrick Mahomes pass complete short right to Marquez Valdes-Scantling for 5 yards (tackle by Foyesade Oluokun),-0.46,-0.37,2.0,2023,24
1.0,9:37,3.0,1.0,KAN 19,0.0,0.0,"Patrick Mahomes pass complete short left to Donovan Smith for no gain (tackle by Andre Cisco). Penalty on Donovan Smith: Illegal Touch Pass, 5 yards (declined)",-0.37,-2.14,2.0,2023,24
1.0,9:24,4.0,1.0,KAN 19,0.0,0.0,Tommy Townsend punts 50 yards downed by Chamarri Conner,-2.14,-1.0,2.0,2023,24
1.0,9:12,1.0,10.0,JAX 31,0.0,0.0,Trevor Lawrence pass incomplete short middle intended for Calvin Ridley (defended by Derrick Nnadi),1.0,0.46,2.0,2023,24
1.0,9:07,2.0,10.0,JAX 31,0.0,0.0,"Luke Fortner aborted snap, recovered by Trevor Lawrence at JAC-19 Trevor Lawrence pass incomplete short left intended for Zay Jones",0.46,-0.23,2.0,2023,24
1.0,9:01,3.0,10.0,JAX 31,0.0,0.0,"Penalty on KAN: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",-0.23,0.43,2.0,2023,24
1.0,9:01,3.0,5.0,JAX 36,0.0,0.0,Trevor Lawrence pass incomplete short right intended for Calvin Ridley (defended by L'Jarius Sneed),0.43,-0.98,2.0,2023,24
1.0,8:58,4.0,5.0,JAX 36,0.0,0.0,"Logan Cooke punts 54 yards, returned by Richie James for 4 yards (tackle by Ross Matiscik)",-0.98,0.28,2.0,2023,24
1.0,8:46,1.0,10.0,KAN 14,0.0,0.0,Patrick Mahomes pass incomplete deep right intended for Justin Watson (defended by Andre Cisco),-0.28,-0.75,2.0,2023,24
1.0,8:41,2.0,10.0,KAN 14,0.0,0.0,Patrick Mahomes pass complete short left to Skyy Moore for 7 yards (tackle by Rayshawn Jenkins),-0.75,-0.56,2.0,2023,24
1.0,8:06,3.0,3.0,KAN 21,0.0,0.0,Patrick Mahomes pass complete short right to Kadarius Toney for 13 yards (tackle by Tre Herndon),-0.56,1.2,2.0,2023,24
1.0,7:37,1.0,10.0,KAN 34,0.0,0.0,Patrick Mahomes pass complete short left to Kadarius Toney for 17 yards (tackle by Devin Lloyd),1.2,2.32,2.0,2023,24
1.0,7:03,1.0,10.0,JAX 49,0.0,0.0,Patrick Mahomes pass incomplete short left intended for Travis Kelce (defended by Rayshawn Jenkins),2.32,1.78,2.0,2023,24
1.0,6:58,2.0,10.0,JAX 49,0.0,0.0,Patrick Mahomes pass complete short right to Kadarius Toney for 11 yards (tackle by Darious Williams),1.78,3.05,2.0,2023,24
1.0,6:17,1.0,10.0,JAX 38,0.0,0.0,Patrick Mahomes pass incomplete short middle intended for Marquez Valdes-Scantling (defended by Devin Lloyd),3.05,2.51,2.0,2023,24
1.0,6:13,2.0,10.0,JAX 38,0.0,0.0,Patrick Mahomes pass complete short left to Isiah Pacheco for no gain (tackle by Tre Herndon and Devin Lloyd),2.51,1.82,2.0,2023,24
1.0,5:33,3.0,10.0,JAX 38,0.0,0.0,"Patrick Mahomes pass complete deep middle to Travis Kelce for no gain. Penalty on Donovan Smith: Offensive Holding, 10 yards (accepted) (no play)",1.82,0.5,2.0,2023,24
1.0,5:06,3.0,20.0,JAX 48,0.0,0.0,Patrick Mahomes pass complete short right to Jerick McKinnon for 11 yards (tackle by Devin Lloyd and Foyesade Oluokun),0.5,0.79,2.0,2023,24
1.0,4:24,4.0,9.0,JAX 37,0.0,0.0,Tommy Townsend punts 35 yards downed by Jaylen Watson,0.79,0.38,2.0,2023,24
1.0,4:16,1.0,10.0,JAX 2,0.0,0.0,Travis Etienne up the middle for 2 yards (tackle by Justin Reid and Derrick Nnadi),-0.38,-0.63,2.0,2023,24
1.0,3:37,2.0,8.0,JAX 4,0.0,0.0,Trevor Lawrence pass complete short right to D'Ernest Johnson for 9 yards (tackle by L'Jarius Sneed),-0.63,-0.32,2.0,2023,24
1.0,2:55,1.0,10.0,JAX 13,0.0,0.0,Travis Etienne right guard for 1 yard (tackle by Drue Tranquill),-0.32,-0.68,2.0,2023,24
1.0,2:12,2.0,9.0,JAX 14,0.0,0.0,Trevor Lawrence pass incomplete short right intended for Evan Engram,-0.68,-1.3,2.0,2023,24
1.0,2:08,3.0,9.0,JAX 14,0.0,0.0,"Trevor Lawrence pass incomplete deep left intended for Calvin Ridley. Penalty on L'Jarius Sneed: Defensive Pass Interference, 11 yards (accepted) (no play)",-1.3,0.61,2.0,2023,24
1.0,2:01,1.0,10.0,JAX 25,0.0,0.0,Travis Etienne right end for no gain (tackle by Drue Tranquill),0.61,0.06,2.0,2023,24
1.0,1:13,2.0,10.0,JAX 25,0.0,0.0,Trevor Lawrence pass complete short right to Evan Engram for 8 yards (tackle by Justin Reid),0.06,0.43,2.0,2023,24
1.0,0:34,3.0,2.0,JAX 33,0.0,0.0,Trevor Lawrence pass complete short left to Christian Kirk for 1 yard (tackle by Jaylen Watson),0.43,-1.11,2.0,2023,24
2.0,15:00,4.0,1.0,JAX 34,0.0,0.0,"Logan Cooke punts 50 yards, recovered by Tim Jones at KC-17",-1.11,4.44,2.0,2023,24
2.0,14:51,1.0,10.0,KAN 17,0.0,0.0,Travis Etienne left guard for 3 yards (tackle by Leo Chenal),4.44,4.32,2.0,2023,24
2.0,14:14,2.0,7.0,KAN 14,0.0,0.0,"Penalty on Travis Etienne: False Start, 5 yards (accepted) (no play)",4.32,3.6,2.0,2023,24
2.0,13:52,2.0,12.0,KAN 19,0.0,0.0,Trevor Lawrence scrambles up the middle for 5 yards (tackle by Willie Gay),3.6,3.5,2.0,2023,24
2.0,13:10,3.0,7.0,KAN 14,0.0,0.0,Trevor Lawrence pass incomplete short right intended for Zay Jones (defended by Trent McDuffie),3.5,2.51,2.0,2023,24
2.0,13:03,4.0,7.0,KAN 14,0.0,3.0,Brandon McManus 32 yard field goal good,2.51,3.0,2.0,2023,24
2.0,12:59,,,JAX 35,0.0,3.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,24
2.0,12:59,1.0,10.0,KAN 25,0.0,3.0,Patrick Mahomes pass incomplete deep left intended for Skyy Moore,0.61,0.06,2.0,2023,24
2.0,12:53,2.0,10.0,KAN 25,0.0,3.0,Patrick Mahomes scrambles up the middle for 11 yards (tackle by Rayshawn Jenkins),0.06,1.33,2.0,2023,24
2.0,12:18,1.0,10.0,KAN 36,0.0,3.0,Patrick Mahomes pass complete short left to Rashee Rice for 5 yards,1.33,1.47,2.0,2023,24
2.0,11:48,2.0,5.0,KAN 41,0.0,3.0,Jerick McKinnon left end for -2 yards (tackle by Travon Walker),1.47,0.5,2.0,2023,24
2.0,11:08,3.0,7.0,KAN 39,0.0,3.0,"Patrick Mahomes pass complete short right to Justin Watson for 13 yards. Justin Watson fumbles (forced by Darious Williams), recovered by Foyesade Oluokun at JAC-48",0.5,-2.13,2.0,2023,24
2.0,10:57,1.0,10.0,JAX 48,0.0,3.0,"Penalty on Travis Kelce: Unsportsmanlike Conduct / Defense, 15 yards (accepted) (no play)",2.13,3.12,2.0,2023,24
2.0,10:57,1.0,10.0,KAN 37,0.0,3.0,"Trevor Lawrence aborted snap, recovered by Trevor Lawrence at KC-42 and returned for -5 yards Replay Assistant challenged the backward pass ruling, and the original play was overturned. (tackle by Jamal Agnew) Trevor Lawrence aborted snap, recovered by L'Jarius Sneed at KC-42 (tackle by Jamal Agnew)",3.12,-1.8,2.0,2023,24
2.0,10:54,1.0,10.0,KAN 43,0.0,3.0,"Creed Humphrey aborted snap, recovered by Patrick Mahomes at KC-40 (tackle by Devin Lloyd)",1.8,1.39,2.0,2023,24
2.0,10:14,2.0,9.0,KAN 44,0.0,3.0,"Penalty on Jawaan Taylor: False Start, 5 yards (accepted) (no play)",1.39,0.71,2.0,2023,24
2.0,9:51,2.0,14.0,KAN 39,0.0,3.0,Patrick Mahomes pass deep middle intended for Justin Watson is intercepted by Andre Cisco at JAC-12 and returned for no gain (tackle by Justin Watson),0.71,0.35,2.0,2023,24
