Quarter,Time,Tm,Detail,NOR,CAR,week,year,game_id
1.0,7:04,Panthers,Eddy Piñeiro 52 yard field goal,0,3,2.0,2023,31
,0:36,Saints,Blake Grupe 28 yard field goal,3,3,2.0,2023,31
2.0,9:52,Saints,Blake Grupe 23 yard field goal,6,3,2.0,2023,31
3.0,9:10,Panthers,Eddy Piñeiro 54 yard field goal,6,6,2.0,2023,31
,2:56,Saints,Tony Jones 2 yard rush (Blake Grupe kick),13,6,2.0,2023,31
4.0,5:30,Panthers,Eddy Piñeiro 36 yard field goal,13,9,2.0,2023,31
,3:14,Saints,Tony Jones 2 yard rush (Blake Grupe kick),20,9,2.0,2023,31
,1:16,Panthers,Adam Thielen 3 yard pass from Bryce Young (Adam Thielen pass from Bryce Young),20,17,2.0,2023,31
