Unnamed: 0,WAS,DEN,week,year,game_id
First Downs,26,21,2.0,2023,29
Rush-Yds-TDs,23-122-2,23-122-1,2.0,2023,29
Cmp-Att-Yd-TD-INT,27-39-299-2-0,18-32-308-3-1,2.0,2023,29
Sacked-Yards,4-33,7-31,2.0,2023,29
Net Pass Yards,266,277,2.0,2023,29
Total Yards,388,399,2.0,2023,29
Fumbles-Lost,2-0,1-1,2.0,2023,29
Turnovers,0,2,2.0,2023,29
Penalties-Yards,8-71,9-58,2.0,2023,29
Third Down Conv.,3-10,4-12,2.0,2023,29
Fourth Down Conv.,1-1,2-2,2.0,2023,29
Time of Possession,33:45,26:15,2.0,2023,29
