Quarter,Time,Down,ToGo,Location,GNB,ATL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Falcons won the coin toss and deferred, Packers to receive the opening kickoff.",,,2.0,2023,18
1.0,15:00,,,ATL 35,0.0,0.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,18
1.0,15:00,1.0,10.0,GNB 25,0.0,0.0,"Jordan Love pass incomplete deep middle intended for Dontayvion Wicks. Penalty on AJ Terrell: Defensive Pass Interference, 44 yards (accepted) (no play)",0.61,3.51,2.0,2023,18
1.0,14:53,1.0,10.0,ATL 31,0.0,0.0,AJ Dillon right guard for 3 yards (tackle by David Onyemata and Grady Jarrett),3.51,3.37,2.0,2023,18
1.0,14:09,2.0,7.0,ATL 28,0.0,0.0,Jordan Love pass incomplete deep left intended for Luke Musgrave,3.37,2.68,2.0,2023,18
1.0,14:06,3.0,7.0,ATL 28,0.0,0.0,"Penalty on Rasheed Walker: False Start, 5 yards (accepted) (no play)",2.68,2.02,2.0,2023,18
1.0,14:06,3.0,12.0,ATL 33,0.0,0.0,Jordan Love pass incomplete short left intended for Jayden Reed (defended by David Onyemata),2.02,1.15,2.0,2023,18
1.0,14:02,4.0,12.0,ATL 33,0.0,0.0,"Penalty on GNB: Delay of Game, 5 yards (accepted) (no play)",1.15,0.72,2.0,2023,18
1.0,14:02,4.0,17.0,ATL 38,0.0,0.0,"Daniel Whelan punts 38 yards, touchback.",0.72,-0.28,2.0,2023,18
1.0,13:54,1.0,10.0,ATL 20,0.0,0.0,Desmond Ridder pass complete short right to Drake London for 9 yards (tackle by Quay Walker and Kenny Clark),0.28,0.95,2.0,2023,18
1.0,13:21,2.0,1.0,ATL 29,0.0,0.0,Bijan Robinson left end for 7 yards (tackle by De'Vondre Campbell and Quay Walker),0.95,1.33,2.0,2023,18
1.0,12:40,1.0,10.0,ATL 36,0.0,0.0,Desmond Ridder pass deep middle intended for Jonnu Smith is intercepted by Rasul Douglas at GB-42 and returned for -2 yards (tackle by Kyle Pitts),1.33,-1.6,2.0,2023,18
