Quarter,Time,Tm,Detail,MIA,NWE,week,year,game_id
1.0,3:00,Dolphins,Jason Sanders 23 yard field goal,3,0,2.0,2023,30
2.0,9:39,Dolphins,Raheem Mostert 8 yard rush (Jason Sanders kick),10,0,2.0,2023,30
,1:49,Patriots,Chad Ryland 49 yard field goal,10,3,2.0,2023,30
,0:11,Dolphins,Tyreek Hill 2 yard pass from Tua Tagovailoa (Jason Sanders kick),17,3,2.0,2023,30
4.0,11:21,Patriots,Hunter Henry 6 yard pass from Mac Jones (Chad Ryland kick),17,10,2.0,2023,30
,8:45,Dolphins,Raheem Mostert 43 yard rush (Jason Sanders kick),24,10,2.0,2023,30
,5:25,Patriots,Rhamondre Stevenson 2 yard rush (Chad Ryland kick),24,17,2.0,2023,30
