Quarter,Time,Down,ToGo,Location,WAS,DEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss and deferred, Commanders to receive the opening kickoff.",,,2.0,2023,29
1.0,15:00,,,DEN 35,0.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,29
1.0,15:00,1.0,10.0,WAS 25,0.0,0.0,Brian Robinson left guard for 2 yards (tackle by Jonathan Harris and Jonathon Cooper),0.61,0.33,2.0,2023,29
1.0,14:28,2.0,8.0,WAS 27,0.0,0.0,Sam Howell pass complete short left to Jahan Dotson for -1 yards (tackle by Damarri Mathis),0.33,-0.49,2.0,2023,29
1.0,13:46,3.0,9.0,WAS 26,0.0,0.0,Sam Howell pass complete short right to Jahan Dotson for 18 yards (tackle by Kareem Jackson),-0.49,1.86,2.0,2023,29
1.0,13:06,1.0,10.0,WAS 44,0.0,0.0,Sam Howell pass complete short left to Terry McLaurin for 5 yards (tackle by Damarri Mathis),1.86,1.99,2.0,2023,29
1.0,12:36,2.0,5.0,WAS 49,0.0,0.0,Sam Howell pass complete short left to Brian Robinson for 21 yards (tackle by Kareem Jackson),1.99,3.58,2.0,2023,29
1.0,11:55,1.0,10.0,DEN 30,0.0,0.0,Sam Howell pass complete short right to John Bates for 5 yards (tackle by Essang Bassey),3.58,3.71,2.0,2023,29
1.0,11:10,2.0,5.0,DEN 25,0.0,0.0,Sam Howell pass incomplete short right intended for Jahan Dotson (defended by Matt Henningsen),3.71,3.01,2.0,2023,29
1.0,11:07,3.0,5.0,DEN 25,0.0,0.0,Sam Howell sacked by Randy Gregory for -5 yards,3.01,1.41,2.0,2023,29
1.0,10:22,4.0,10.0,DEN 30,0.0,0.0,Joey Slye 49 yard field goal no good,1.41,-1.53,2.0,2023,29
1.0,10:19,1.0,10.0,DEN 39,0.0,0.0,Russell Wilson pass complete short left to Jerry Jeudy for 11 yards (tackle by Kamren Curl),1.53,2.26,2.0,2023,29
1.0,9:45,1.0,10.0,DEN 50,0.0,0.0,Javonte Williams left end for 15 yards (tackle by Kamren Curl),2.26,3.25,2.0,2023,29
1.0,8:58,1.0,10.0,WAS 35,0.0,0.0,Russell Wilson sacked by James Smith-Williams for -1 yards,3.25,2.57,2.0,2023,29
1.0,8:15,2.0,11.0,WAS 36,0.0,0.0,Javonte Williams right guard for 9 yards (tackle by Benjamin St-Juste and Kamren Curl),2.57,3.07,2.0,2023,29
1.0,7:35,3.0,2.0,WAS 27,0.0,0.0,Russell Wilson right end for 14 yards (tackle by Darrick Forrest),3.07,4.71,2.0,2023,29
1.0,6:57,1.0,10.0,WAS 13,0.0,0.0,Marvin Mims right end for 8 yards (tackle by Emmanuel Forbes),4.71,5.54,2.0,2023,29
1.0,6:19,,,,,,Timeout #1 by Denver Broncos,,,2.0,2023,29
1.0,6:19,2.0,2.0,WAS 5,0.0,6.0,"Jaleel McLaughlin left end for 5 yards, touchdown",5.54,7.0,2.0,2023,29
1.0,6:14,,,WAS 15,0.0,7.0,Wil Lutz kicks extra point good,0.0,0.0,2.0,2023,29
1.0,6:14,,,DEN 35,0.0,7.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,29
1.0,6:14,1.0,10.0,WAS 25,0.0,7.0,Sam Howell pass complete short right to Dyami Brown for 9 yards (tackle by Patrick Surtain),0.61,1.28,2.0,2023,29
1.0,5:35,2.0,1.0,WAS 34,0.0,7.0,Brian Robinson left guard for 5 yards (tackle by Jonathan Harris and Jonathon Cooper),1.28,1.53,2.0,2023,29
1.0,4:53,1.0,10.0,WAS 39,0.0,7.0,Sam Howell pass complete short right to Dyami Brown for 8 yards (tackle by Patrick Surtain),1.53,2.07,2.0,2023,29
1.0,4:15,2.0,2.0,WAS 47,0.0,7.0,Brian Robinson left guard for 3 yards (tackle by Zach Allen and Jonathon Cooper),2.07,2.26,2.0,2023,29
1.0,3:34,1.0,10.0,DEN 50,0.0,7.0,"Penalty on Zach Allen: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.26,2.99,2.0,2023,29
1.0,3:18,1.0,5.0,DEN 45,0.0,7.0,Sam Howell pass complete short left to Terry McLaurin for 5 yards (tackle by Damarri Mathis),2.99,2.92,2.0,2023,29
1.0,2:43,1.0,10.0,DEN 40,0.0,7.0,Sam Howell pass incomplete short left,2.92,2.37,2.0,2023,29
1.0,2:35,2.0,10.0,DEN 40,0.0,7.0,Sam Howell pass complete deep middle to Logan Thomas for 18 yards (tackle by Justin Simmons),2.37,4.11,2.0,2023,29
1.0,1:54,1.0,10.0,DEN 22,0.0,7.0,Sam Howell sacked by Nik Bonitto for -8 yards,4.11,2.48,2.0,2023,29
1.0,1:12,2.0,18.0,DEN 30,0.0,7.0,Sam Howell pass complete short right to Jahan Dotson for 5 yards,2.48,2.48,2.0,2023,29
1.0,0:33,3.0,13.0,DEN 25,0.0,7.0,Sam Howell pass incomplete short left intended for Jahan Dotson (defended by Josey Jewell),2.48,1.8,2.0,2023,29
1.0,0:28,4.0,13.0,DEN 25,3.0,7.0,Joey Slye 44 yard field goal good,1.8,3.0,2.0,2023,29
1.0,0:24,,,WAS 35,3.0,7.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,29
1.0,0:24,1.0,10.0,DEN 25,3.0,7.0,"Russell Wilson pass incomplete short left. Penalty on Jamin Davis: Roughing the Passer, 15 yards (accepted) (no play)",0.61,1.6,2.0,2023,29
1.0,0:20,1.0,10.0,DEN 40,3.0,13.0,"Russell Wilson pass complete deep left to Marvin Mims for 60 yards, touchdown",1.6,7.0,2.0,2023,29
1.0,0:12,,,WAS 15,3.0,14.0,Wil Lutz kicks extra point good,0.0,0.0,2.0,2023,29
1.0,0:12,,,DEN 35,3.0,14.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,29
1.0,0:12,1.0,10.0,WAS 25,3.0,14.0,Antonio Gibson right tackle for 2 yards (tackle by Josey Jewell and Randy Gregory),0.61,0.33,2.0,2023,29
2.0,15:00,2.0,8.0,WAS 27,3.0,14.0,Sam Howell pass incomplete short right,0.33,-0.36,2.0,2023,29
2.0,14:56,3.0,8.0,WAS 27,3.0,14.0,Sam Howell sacked by Jonathon Cooper for -3 yards,-0.36,-1.77,2.0,2023,29
2.0,14:12,4.0,11.0,WAS 24,3.0,14.0,Tress Way punts 66 yards downed by Dyami Brown,-1.77,0.38,2.0,2023,29
2.0,14:02,1.0,10.0,DEN 10,3.0,14.0,Russell Wilson pass incomplete deep right intended for Lil'Jordan Humphrey,-0.38,-0.78,2.0,2023,29
2.0,13:58,2.0,10.0,DEN 10,3.0,14.0,Javonte Williams left tackle for 6 yards (tackle by Daron Payne),-0.78,-0.72,2.0,2023,29
