Unnamed: 0,NYJ,DAL,week,year,game_id
First Downs,12,26,2.0,2023,28
Rush-Yds-TDs,16-64-0,44-134-0,2.0,2023,28
Cmp-Att-Yd-TD-INT,12-27-170-1-3,31-38-255-2-0,2.0,2023,28
Sacked-Yards,3-19,1-7,2.0,2023,28
Net Pass Yards,151,248,2.0,2023,28
Total Yards,215,382,2.0,2023,28
Fumbles-Lost,1-1,1-0,2.0,2023,28
Turnovers,4,0,2.0,2023,28
Penalties-Yards,5-29,6-38,2.0,2023,28
Third Down Conv.,1-10,9-18,2.0,2023,28
Fourth Down Conv.,1-1,0-0,2.0,2023,28
Time of Possession,17:45,42:15,2.0,2023,28
