Unnamed: 0,BAL,CIN,week,year,game_id
First Downs,26,19,2.0,2023,21
Rush-Yds-TDs,37-178-1,15-66-0,2.0,2023,21
Cmp-Att-Yd-TD-INT,24-33-237-2-0,27-41-222-2-1,2.0,2023,21
Sacked-Yards,0-0,1-6,2.0,2023,21
Net Pass Yards,237,216,2.0,2023,21
Total Yards,415,282,2.0,2023,21
Fumbles-Lost,0-0,0-0,2.0,2023,21
Turnovers,0,1,2.0,2023,21
Penalties-Yards,6-56,5-30,2.0,2023,21
Third Down Conv.,9-14,10-15,2.0,2023,21
Fourth Down Conv.,0-0,1-1,2.0,2023,21
Time of Possession,33:04,26:56,2.0,2023,21
