Rk,Tm,G,Downs 3DAtt,Downs 3DConv,Downs 3D%,Downs 4DAtt,Downs 4DConv,Downs 4D%,Red Zone RZAtt,Red Zone RZTD,Red Zone RZPct
1.0,Cleveland Browns,17.0,230.0,67.0,29.1%,15.0,6.0,40.0%,42.0,30.0,71.4%
2.0,Denver Broncos,17.0,202.0,67.0,33.2%,34.0,16.0,47.1%,59.0,34.0,57.6%
3.0,Detroit Lions,17.0,202.0,75.0,37.1%,26.0,15.0,57.7%,53.0,35.0,66.0%
4.0,Atlanta Falcons,17.0,228.0,77.0,33.8%,23.0,11.0,47.8%,53.0,24.0,45.3%
5.0,New Orleans Saints,17.0,226.0,78.0,34.5%,26.0,11.0,42.3%,48.0,24.0,50.0%
6.0,Dallas Cowboys,17.0,211.0,79.0,37.4%,37.0,19.0,51.4%,48.0,27.0,56.3%
7.0,New York Giants,17.0,216.0,80.0,37.0%,19.0,10.0,52.6%,59.0,36.0,61.0%
8.0,Houston Texans,17.0,227.0,81.0,35.7%,29.0,16.0,55.2%,54.0,28.0,51.9%
9.0,Buffalo Bills,17.0,215.0,83.0,38.6%,19.0,10.0,52.6%,48.0,27.0,56.3%
10.0,Kansas City Chiefs,17.0,224.0,83.0,37.1%,28.0,13.0,46.4%,50.0,25.0,50.0%
11.0,Jacksonville Jaguars,17.0,230.0,84.0,36.5%,41.0,21.0,51.2%,52.0,29.0,55.8%
12.0,Miami Dolphins,17.0,216.0,84.0,38.9%,30.0,14.0,46.7%,54.0,35.0,64.8%
13.0,Carolina Panthers,17.0,221.0,84.0,38.0%,10.0,7.0,70.0%,57.0,36.0,63.2%
14.0,New England Patriots,17.0,237.0,86.0,36.3%,19.0,10.0,52.6%,52.0,24.0,46.2%
15.0,Cincinnati Bengals,17.0,213.0,87.0,40.8%,15.0,7.0,46.7%,60.0,31.0,51.7%
16.0,San Francisco 49ers,17.0,215.0,88.0,40.9%,28.0,14.0,50.0%,44.0,24.0,54.5%
17.0,Los Angeles Rams,17.0,228.0,88.0,38.6%,30.0,16.0,53.3%,48.0,26.0,54.2%
18.0,Indianapolis Colts,17.0,240.0,89.0,37.1%,26.0,17.0,65.4%,52.0,29.0,55.8%
19.0,Tennessee Titans,17.0,231.0,89.0,38.5%,21.0,12.0,57.1%,61.0,23.0,37.7%
20.0,Los Angeles Chargers,17.0,232.0,89.0,38.4%,32.0,19.0,59.4%,51.0,27.0,52.9%
21.0,New York Jets,17.0,242.0,90.0,37.2%,16.0,7.0,43.8%,49.0,24.0,49.0%
22.0,Pittsburgh Steelers,17.0,233.0,91.0,39.1%,18.0,8.0,44.4%,50.0,23.0,46.0%
23.0,Baltimore Ravens,17.0,250.0,91.0,36.4%,32.0,13.0,40.6%,49.0,20.0,40.8%
24.0,Green Bay Packers,17.0,224.0,92.0,41.1%,30.0,14.0,46.7%,57.0,29.0,50.9%
25.0,Tampa Bay Buccaneers,17.0,225.0,92.0,40.9%,25.0,12.0,48.0%,54.0,23.0,42.6%
26.0,Washington Commanders,17.0,226.0,94.0,41.6%,21.0,13.0,61.9%,60.0,34.0,56.7%
27.0,Las Vegas Raiders,17.0,227.0,94.0,41.4%,26.0,14.0,53.8%,48.0,30.0,62.5%
28.0,Minnesota Vikings,17.0,232.0,96.0,41.4%,25.0,18.0,72.0%,50.0,27.0,54.0%
29.0,Arizona Cardinals,17.0,205.0,97.0,47.3%,15.0,7.0,46.7%,71.0,43.0,60.6%
30.0,Chicago Bears,17.0,222.0,98.0,44.1%,23.0,10.0,43.5%,45.0,31.0,68.9%
31.0,Seattle Seahawks,17.0,231.0,107.0,46.3%,26.0,13.0,50.0%,57.0,34.0,59.6%
32.0,Philadelphia Eagles,17.0,233.0,108.0,46.4%,34.0,19.0,55.9%,59.0,39.0,66.1%
,League Total,,,,,,,,,,
