Unnamed: 0,ARI,BUF,week,year,game_id
First Downs,18,23,1.0,2024,4
Rush-Yds-TDs,25-124-1,33-130-2,1.0,2024,4
Cmp-Att-Yd-TD-INT,21-31-162-1-0,18-23-232-2-0,1.0,2024,4
Sacked-Yards,4-16,2-10,1.0,2024,4
Net Pass Yards,146,222,1.0,2024,4
Total Yards,270,352,1.0,2024,4
Fumbles-Lost,1-1,1-1,1.0,2024,4
Turnovers,1,1,1.0,2024,4
Penalties-Yards,5-31,9-65,1.0,2024,4
Third Down Conv.,7-13,3-9,1.0,2024,4
Fourth Down Conv.,0-1,2-2,1.0,2024,4
Time of Possession,29:30,30:30,1.0,2024,4
