Quarter,Time,Down,ToGo,Location,PIT,ATL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,,1.0,2024,3
1.0,15:00,,,PIT 35,0.0,0.0,"Chris Boswell kicks off 64 yards, returned by Ray-Ray McCloud for 29 yards (tackle by Beanie Bishop)",0.0,0.94,1.0,2024,3
1.0,14:55,1.0,10.0,ATL 30,0.0,0.0,Bijan Robinson left tackle for 6 yards (tackle by Patrick Queen and Larry Ogunjobi),0.94,1.2,1.0,2024,3
1.0,14:16,2.0,4.0,ATL 36,0.0,0.0,Bijan Robinson left end for 4 yards (tackle by Larry Ogunjobi),1.2,1.6,1.0,2024,3
1.0,13:37,1.0,10.0,ATL 40,0.0,0.0,Bijan Robinson left tackle for 4 yards (tackle by T.J. Watt and DeShon Elliott),1.6,1.59,1.0,2024,3
1.0,13:14,2.0,6.0,ATL 44,0.0,0.0,Kirk Cousins pass incomplete short left intended for Darnell Mooney,1.59,0.89,1.0,2024,3
1.0,13:09,3.0,6.0,ATL 44,0.0,0.0,Kirk Cousins pass complete short middle to Darnell Mooney for 15 yards (tackle by Damontae Kazee),0.89,2.85,1.0,2024,3
1.0,12:36,1.0,10.0,PIT 41,0.0,0.0,"Kirk Cousins pass incomplete deep middle intended for Ray-Ray McCloud. Penalty on Alex Highsmith: Defensive Offside, 5 yards (accepted) (no play)",2.85,3.58,1.0,2024,3
1.0,12:31,1.0,5.0,PIT 36,0.0,0.0,Tyler Allgeier left end for 13 yards (tackle by Montravius Adams),3.58,4.04,1.0,2024,3
1.0,11:47,1.0,10.0,PIT 23,0.0,0.0,Bijan Robinson left end for 5 yards (tackle by Damontae Kazee),4.04,4.21,1.0,2024,3
1.0,11:08,2.0,5.0,PIT 18,0.0,0.0,Kirk Cousins pass complete short right to Drake London for 8 yards (tackle by Damontae Kazee),4.21,4.91,1.0,2024,3
1.0,10:38,1.0,10.0,PIT 10,0.0,0.0,Bijan Robinson right tackle for -3 yards (tackle by T.J. Watt),4.91,3.72,1.0,2024,3
1.0,9:55,2.0,13.0,PIT 13,0.0,0.0,Kirk Cousins pass incomplete short right,3.72,3.06,1.0,2024,3
1.0,9:51,3.0,13.0,PIT 13,0.0,0.0,Kirk Cousins pass complete short right to Bijan Robinson for 7 yards (tackle by Payton Wilson),3.06,2.99,1.0,2024,3
1.0,9:09,4.0,6.0,PIT 6,0.0,3.0,Younghoe Koo 24 yard field goal good,2.99,3.0,1.0,2024,3
1.0,9:06,,,ATL 35,0.0,3.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,3
1.0,9:06,1.0,10.0,PIT 30,0.0,3.0,"Justin Fields aborted snap, recovered by Justin Fields at PIT-30 Justin Fields right guard for 3 yards",0.94,0.8,1.0,2024,3
1.0,8:34,2.0,7.0,PIT 33,0.0,3.0,Justin Fields pass incomplete short right intended for Van Jefferson,0.8,0.1,1.0,2024,3
1.0,8:29,,,,,,Timeout #1 by Pittsburgh Steelers,,,1.0,2024,3
1.0,8:29,3.0,7.0,PIT 33,0.0,3.0,Justin Fields scrambles right end for 12 yards (tackle by Troy Andersen),0.1,1.93,1.0,2024,3
1.0,7:56,1.0,10.0,PIT 45,0.0,3.0,Najee Harris right guard for 4 yards (tackle by Lorenzo Carter),1.93,1.92,1.0,2024,3
1.0,7:16,2.0,6.0,PIT 49,0.0,3.0,Najee Harris right end for 4 yards (tackle by AJ Terrell),1.92,1.75,1.0,2024,3
1.0,7:03,3.0,2.0,ATL 47,0.0,3.0,Najee Harris left guard for 2 yards (tackle by Kentavius Street and Ta'Quon Graham),1.75,2.59,1.0,2024,3
1.0,6:12,1.0,10.0,ATL 45,0.0,3.0,Justin Fields pass incomplete short left intended for Najee Harris,2.59,2.04,1.0,2024,3
1.0,6:06,2.0,10.0,ATL 45,0.0,3.0,Justin Fields pass complete short right to Pat Freiermuth for 4 yards (tackle by Jessie Bates),2.04,1.88,1.0,2024,3
1.0,5:26,3.0,6.0,ATL 41,0.0,3.0,Cordarrelle Patterson right tackle for 2 yards (tackle by Lorenzo Carter),1.88,0.66,1.0,2024,3
1.0,4:42,4.0,4.0,ATL 39,3.0,3.0,Chris Boswell 57 yard field goal good,0.66,3.0,1.0,2024,3
1.0,4:37,,,PIT 35,3.0,3.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,3
1.0,4:37,1.0,10.0,ATL 30,3.0,3.0,Kirk Cousins pass complete short left to Bijan Robinson for 9 yards (tackle by Donte Jackson and Alex Highsmith),0.94,1.61,1.0,2024,3
