Unnamed: 0,WAS,TAM,week,year,game_id
First Downs,22,22,1.0,2024,14
Rush-Yds-TDs,30-138-3,30-112-0,1.0,2024,14
Cmp-Att-Yd-TD-INT,17-24-184-0-0,24-30-289-4-0,1.0,2024,14
Sacked-Yards,2-23,1-9,1.0,2024,14
Net Pass Yards,161,280,1.0,2024,14
Total Yards,299,392,1.0,2024,14
Fumbles-Lost,3-0,0-0,1.0,2024,14
Turnovers,0,0,1.0,2024,14
Penalties-Yards,7-51,7-46,1.0,2024,14
Third Down Conv.,2-8,9-13,1.0,2024,14
Fourth Down Conv.,1-1,0-0,1.0,2024,14
Time of Possession,26:19,33:41,1.0,2024,14
