Unnamed: 0,BAL,KAN,week,year,game_id
First Downs,25,21,1.0,2024,1
Rush-Yds-TDs,32-185-1,20-72-2,1.0,2024,1
Cmp-Att-Yd-TD-INT,26-41-273-1-0,20-28-291-1-1,1.0,2024,1
Sacked-Yards,1-6,2-10,1.0,2024,1
Net Pass Yards,267,281,1.0,2024,1
Total Yards,452,353,1.0,2024,1
Fumbles-Lost,1-1,0-0,1.0,2024,1
Turnovers,1,1,1.0,2024,1
Penalties-Yards,7-64,6-45,1.0,2024,1
Third Down Conv.,7-14,4-9,1.0,2024,1
Fourth Down Conv.,1-2,0-0,1.0,2024,1
Time of Possession,33:43,26:17,1.0,2024,1
