Quarter,Time,Down,ToGo,Location,TEN,CHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bears won the coin toss and deferred, Titans to receive the opening kickoff.",,,1.0,2024,6
1.0,15:00,,,CHI 35,0.0,0.0,"Cairo Santos kicks off 66 yards, returned by Jha'Quan Jackson for 23 yards (tackle by Jaylon Jones)",0.0,0.41,1.0,2024,6
1.0,14:53,1.0,10.0,TEN 22,0.0,0.0,Tony Pollard right tackle for 1 yard (tackle by Gervon Dexter and Andrew Billings),0.41,0.0,1.0,2024,6
1.0,14:17,2.0,9.0,TEN 23,0.0,0.0,Will Levis pass incomplete short left intended for Tony Pollard,0.0,-0.69,1.0,2024,6
1.0,14:11,3.0,9.0,TEN 23,0.0,0.0,Will Levis pass incomplete short left intended for Tyler Boyd,-0.69,-1.83,1.0,2024,6
1.0,14:06,4.0,9.0,TEN 23,0.0,0.0,"Ryan Stonehouse punts 50 yards, returned by DeAndre Carter for 16 yards (tackle by Jack Gibbens)",-1.83,-1.8,1.0,2024,6
1.0,13:57,1.0,10.0,CHI 43,0.0,0.0,D'Andre Swift left tackle for 6 yards (tackle by Jack Gibbens),1.8,2.06,1.0,2024,6
1.0,13:20,2.0,4.0,CHI 49,0.0,0.0,Caleb Williams pass complete short right to D.J. Moore for 1 yard (tackle by Amani Hooker),2.06,1.49,1.0,2024,6
1.0,12:48,3.0,3.0,CHI 50,0.0,0.0,Caleb Williams pass incomplete deep left intended for D.J. Moore,1.49,-0.06,1.0,2024,6
1.0,12:39,4.0,3.0,CHI 50,0.0,0.0,"Tory Taylor punts 50 yards, touchback.",-0.06,-0.28,1.0,2024,6
1.0,12:29,1.0,10.0,TEN 20,0.0,0.0,Tony Pollard left guard for 1 yard (tackle by Jaquan Brisker),0.28,-0.13,1.0,2024,6
1.0,11:50,2.0,9.0,TEN 21,0.0,0.0,"Penalty on Nicholas Petit-Frere: False Start, 5 yards (accepted) (no play)",-0.13,-0.94,1.0,2024,6
1.0,11:22,2.0,14.0,TEN 16,0.0,0.0,Tony Pollard right tackle for 1 yard (tackle by DeMarcus Walker),-0.94,-1.51,1.0,2024,6
1.0,10:38,3.0,13.0,TEN 17,0.0,0.0,Will Levis pass complete short middle to Tyjae Spears for 2 yards (tackle by T.J. Edwards),-1.51,-2.14,1.0,2024,6
1.0,10:00,4.0,11.0,TEN 19,0.0,0.0,"Ryan Stonehouse punts 49 yards, returned by DeAndre Carter for 20 yards (tackle by Jaylen Harrell)",-2.14,-2.39,1.0,2024,6
1.0,9:46,1.0,10.0,TEN 48,0.0,0.0,D'Andre Swift left end for 6 yards (tackle by Harold Landry),2.39,2.66,1.0,2024,6
1.0,9:05,2.0,4.0,TEN 42,0.0,0.0,D'Andre Swift left end for 1 yard (tackle by Kenneth Murray),2.66,2.08,1.0,2024,6
1.0,8:21,3.0,3.0,TEN 41,0.0,0.0,Caleb Williams pass incomplete deep left intended for Keenan Allen,2.08,0.53,1.0,2024,6
1.0,8:17,4.0,3.0,TEN 41,0.0,0.0,Caleb Williams pass complete short left to Keenan Allen for 5 yards (tackle by L'Jarius Sneed),0.53,3.18,1.0,2024,6
1.0,7:42,1.0,10.0,TEN 36,0.0,0.0,"Caleb Williams pass incomplete deep left. Penalty on L'Jarius Sneed: Defensive Holding, 5 yards (accepted) . Penalty on Jack Gibbens: Defensive Too Many Men on Field, 5 yards (declined) (no play)",3.18,3.91,1.0,2024,6
1.0,7:33,1.0,5.0,TEN 31,0.0,0.0,Velus Jones left tackle for 6 yards (tackle by Kenneth Murray),3.91,3.91,1.0,2024,6
1.0,6:56,1.0,10.0,TEN 25,0.0,0.0,Caleb Williams sacked by Sebastian Joseph-Day for -19 yards,3.91,0.8,1.0,2024,6
1.0,6:09,,,,,,Timeout #1 by Chicago Bears,,,1.0,2024,6
1.0,6:09,2.0,29.0,TEN 44,0.0,0.0,Caleb Williams pass incomplete short middle intended for Rome Odunze (defended by Amani Hooker),0.8,0.17,1.0,2024,6
1.0,6:04,3.0,29.0,TEN 44,0.0,0.0,Caleb Williams pass complete short right to Gerald Everett for -1 yards (tackle by Roger McCreary and Harold Landry),0.17,0.27,1.0,2024,6
1.0,5:26,4.0,30.0,TEN 45,0.0,0.0,"Tory Taylor punts 34 yards, fair catch by Jha'Quan Jackson at TEN-11. Penalty on Scott Daly: Offensive Holding, 10 yards (accepted)",0.27,-0.34,1.0,2024,6
1.0,5:26,1.0,10.0,TEN 21,0.0,0.0,Will Levis pass complete short right to Nick Vannett for 8 yards (tackle by T.J. Edwards),0.34,0.88,1.0,2024,6
1.0,4:49,2.0,2.0,TEN 29,0.0,0.0,Tony Pollard right tackle for 7 yards (tackle by Tremaine Edmunds and Tyrique Stevenson),0.88,1.33,1.0,2024,6
1.0,4:11,1.0,10.0,TEN 36,0.0,0.0,Tony Pollard left end for 14 yards (tackle by Jaquan Brisker),1.33,2.26,1.0,2024,6
1.0,3:33,1.0,10.0,TEN 50,0.0,0.0,Will Levis pass complete short left to Calvin Ridley for 6 yards (tackle by T.J. Edwards),2.26,2.52,1.0,2024,6
1.0,2:53,2.0,4.0,CHI 44,0.0,0.0,Will Levis pass complete short right to Tyjae Spears for 5 yards (tackle by Kevin Byard),2.52,2.98,1.0,2024,6
1.0,2:11,1.0,10.0,CHI 39,0.0,0.0,Treylon Burks left end for 6 yards (tackle by Jaquan Brisker),2.98,3.25,1.0,2024,6
