Unnamed: 0,CAR,NOR,week,year,game_id
First Downs,11,22,1.0,2024,5
Rush-Yds-TDs,20-58-1,37-180-2,1.0,2024,5
Cmp-Att-Yd-TD-INT,13-31-161-0-2,19-24-200-3-0,1.0,2024,5
Sacked-Yards,4-26,1-1,1.0,2024,5
Net Pass Yards,135,199,1.0,2024,5
Total Yards,193,379,1.0,2024,5
Fumbles-Lost,1-1,1-1,1.0,2024,5
Turnovers,3,1,1.0,2024,5
Penalties-Yards,6-80,10-95,1.0,2024,5
Third Down Conv.,1-10,7-13,1.0,2024,5
Fourth Down Conv.,1-3,0-0,1.0,2024,5
Time of Possession,23:21,36:39,1.0,2024,5
