Quarter,Time,Down,ToGo,Location,BAL,KAN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chiefs won the coin toss and deferred, Ravens to receive the opening kickoff.",,,1.0,2024,1
1.0,15:00,,,KAN 35,0.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,1
1.0,15:00,1.0,10.0,BAL 30,0.0,0.0,Derrick Henry left end for 2 yards (tackle by Jaylen Watson),0.94,0.66,1.0,2024,1
1.0,14:18,2.0,8.0,BAL 32,0.0,0.0,"Lamar Jackson pass complete short right to Zay Flowers for no gain (tackle by Drue Tranquill). Penalty on Ronnie Stanley: Illegal Formation, 5 yards (accepted) (no play)",0.66,-0.01,1.0,2024,1
1.0,13:54,2.0,13.0,BAL 27,0.0,0.0,Lamar Jackson pass complete short right to Justice Hill for 2 yards (tackle by Chamarri Conner),-0.01,-0.43,1.0,2024,1
1.0,13:18,3.0,11.0,BAL 29,0.0,0.0,Lamar Jackson pass complete short right to Justice Hill for 18 yards (tackle by Jaylen Watson),-0.43,2.06,1.0,2024,1
1.0,12:41,1.0,10.0,BAL 47,0.0,0.0,Derrick Henry up the middle for 1 yard (tackle by Mike Pennel and Chris Jones),2.06,1.65,1.0,2024,1
1.0,11:58,2.0,9.0,BAL 48,0.0,0.0,"Lamar Jackson pass incomplete short left intended for Derrick Henry (defended by Leo Chenal). Penalty on Patrick Mekari: Illegal Formation, 5 yards (declined)",1.65,0.96,1.0,2024,1
1.0,11:55,3.0,9.0,BAL 48,0.0,0.0,"Lamar Jackson pass incomplete deep right intended for Zay Flowers. Penalty on Ronnie Stanley: Illegal Formation, 5 yards (offset) . Penalty on Jaylen Watson: Defensive Pass Interference, 15 yards (offset) (no play)",0.96,0.96,1.0,2024,1
1.0,11:49,3.0,9.0,BAL 48,0.0,0.0,Lamar Jackson pass complete deep middle to Zay Flowers for 19 yards (tackle by Trent McDuffie),0.96,3.38,1.0,2024,1
1.0,11:05,1.0,10.0,KAN 33,0.0,0.0,Derrick Henry right end for 6 yards (tackle by Justin Reid),3.38,3.65,1.0,2024,1
1.0,10:25,2.0,4.0,KAN 27,0.0,0.0,Derrick Henry up the middle for 3 yards (tackle by Leo Chenal and Nick Bolton),3.65,3.34,1.0,2024,1
1.0,9:38,3.0,1.0,KAN 24,0.0,0.0,Lamar Jackson left end for 11 yards (tackle by Justin Reid),3.34,4.71,1.0,2024,1
1.0,8:59,1.0,10.0,KAN 13,0.0,0.0,Lamar Jackson left end for 8 yards (tackle by Justin Reid),4.71,5.54,1.0,2024,1
1.0,8:18,2.0,2.0,KAN 5,6.0,0.0,"Derrick Henry right guard for 5 yards, touchdown",5.54,7.0,1.0,2024,1
1.0,8:14,,,KAN 15,7.0,0.0,Justin Tucker kicks extra point good,0.0,0.0,1.0,2024,1
1.0,8:14,,,BAL 35,7.0,0.0,"Justin Tucker kicks off 60 yards, returned by Carson Steele for 28 yards (tackle by Chris Board and Ka'dar Hollman)",0.0,1.14,1.0,2024,1
1.0,8:09,1.0,10.0,KAN 33,7.0,0.0,Patrick Mahomes pass complete short left to Rashee Rice for 11 yards (tackle by Marcus Williams and Roquan Smith),1.14,1.86,1.0,2024,1
1.0,7:36,1.0,10.0,KAN 44,7.0,0.0,Patrick Mahomes sacked by and Trenton Simpson for no gain and Nnamdi Madubuike for no gain,1.86,1.32,1.0,2024,1
1.0,7:01,2.0,10.0,KAN 44,7.0,0.0,Isiah Pacheco up the middle for 4 yards (tackle by Nnamdi Madubuike and Roquan Smith),1.32,1.16,1.0,2024,1
1.0,6:15,3.0,6.0,KAN 48,7.0,0.0,"Patrick Mahomes pass complete short middle to Rashee Rice for 16 yards (tackle by Roquan Smith). Penalty on Roquan Smith: Horse Collar Tackle, 15 yards (accepted)",1.16,4.17,1.0,2024,1
1.0,6:02,1.0,10.0,BAL 21,7.0,6.0,"Xavier Worthy right end for 21 yards, touchdown",4.17,7.0,1.0,2024,1
1.0,5:55,,,BAL 15,7.0,7.0,Harrison Butker kicks extra point good,0.0,0.0,1.0,2024,1
1.0,5:55,,,KAN 35,7.0,7.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,1
1.0,5:55,1.0,10.0,BAL 30,7.0,7.0,Lamar Jackson pass complete short left to Isaiah Likely for 15 yards (tackle by Bryan Cook),0.94,1.93,1.0,2024,1
1.0,5:14,1.0,10.0,BAL 45,7.0,7.0,Derrick Henry left end for 1 yard (tackle by Tershawn Wharton and Leo Chenal),1.93,1.52,1.0,2024,1
1.0,4:30,2.0,9.0,BAL 46,7.0,7.0,Lamar Jackson pass complete short right to Zay Flowers for 3 yards (tackle by Trent McDuffie),1.52,1.22,1.0,2024,1
1.0,3:49,3.0,6.0,BAL 49,7.0,7.0,Lamar Jackson pass complete short right to Justice Hill for 1 yard (tackle by Justin Reid),1.22,-0.06,1.0,2024,1
1.0,3:04,4.0,5.0,BAL 50,7.0,7.0,"Jordan Stout punts 40 yards, fair catch by Mecole Hardman at KC-10",-0.06,0.38,1.0,2024,1
1.0,2:55,1.0,10.0,KAN 10,7.0,7.0,Patrick Mahomes pass complete short left to Isiah Pacheco for 23 yards (tackle by Brandon Stephens),-0.38,1.14,1.0,2024,1
