Unnamed: 0,GNB,PHI,week,year,game_id
First Downs,19,25,1.0,2024,2
Rush-Yds-TDs,21-163-1,38-144-2,1.0,2024,2
Cmp-Att-Yd-TD-INT,17-35-260-2-1,20-34-278-2-2,1.0,2024,2
Sacked-Yards,2-9,2-12,1.0,2024,2
Net Pass Yards,251,266,1.0,2024,2
Total Yards,414,410,1.0,2024,2
Fumbles-Lost,1-0,2-1,1.0,2024,2
Turnovers,1,3,1.0,2024,2
Penalties-Yards,10-71,7-57,1.0,2024,2
Third Down Conv.,3-11,4-14,1.0,2024,2
Fourth Down Conv.,1-1,1-1,1.0,2024,2
Time of Possession,27:13,32:47,1.0,2024,2
