Quarter,Time,Down,ToGo,Location,GNB,PHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Packers won the coin toss, Packers to receive the opening kickoff.",,,1.0,2024,2
1.0,15:00,,,PHI 35,0.0,0.0,"Braden Mann kicks off 65 yards, touchback.. Penalty on Kelee Ringo: Illegal Formation, 5 yards (accepted)",0.0,1.27,1.0,2024,2
1.0,15:00,1.0,10.0,GNB 35,0.0,0.0,Josh Jacobs up the middle for -1 yards (tackle by Josh Sweat and Milton Williams),1.27,0.59,1.0,2024,2
1.0,14:21,2.0,11.0,GNB 34,0.0,0.0,Jordan Love pass complete short right to Christian Watson for 5 yards (tackle by Avonte Maddox and Darius Slay),0.59,0.56,1.0,2024,2
1.0,13:39,3.0,6.0,GNB 39,0.0,0.0,Jordan Love pass complete short left to Romeo Doubs for 19 yards (tackle by Avonte Maddox and Reed Blankenship),0.56,2.79,1.0,2024,2
1.0,12:59,1.0,10.0,PHI 42,0.0,0.0,Josh Jacobs left guard for 4 yards (tackle by Zack Baun and Quinyon Mitchell),2.79,2.78,1.0,2024,2
1.0,12:17,2.0,6.0,PHI 38,0.0,0.0,Josh Jacobs left tackle for no gain (tackle by Zack Baun and Nolan Smith),2.78,2.08,1.0,2024,2
1.0,12:01,3.0,6.0,PHI 38,0.0,0.0,"Jordan Love pass complete deep middle to Jayden Reed for no gain, touchdown. Penalty on Romeo Doubs: Offensive Too Many Men on Field, 5 yards (offset) . Penalty on Bryce Huff: Defensive Too Many Men on Field, 5 yards (offset) (no play)",2.08,2.08,1.0,2024,2
1.0,11:52,3.0,6.0,PHI 38,0.0,0.0,Jordan Love pass incomplete deep left intended for Christian Watson,2.08,0.72,1.0,2024,2
1.0,11:47,,,,,,Timeout #1 by Green Bay Packers,,,1.0,2024,2
1.0,11:47,4.0,6.0,PHI 38,0.0,0.0,"Penalty on Zach Tom: False Start, 5 yards (accepted) (no play)",0.72,0.4,1.0,2024,2
1.0,11:47,4.0,11.0,PHI 43,0.0,0.0,Daniel Whelan punts 33 yards out of bounds,0.4,0.38,1.0,2024,2
1.0,11:40,1.0,10.0,PHI 10,0.0,0.0,Saquon Barkley left end for -5 yards (tackle by Eric Wilson),-0.38,-1.15,1.0,2024,2
1.0,11:03,2.0,15.0,PHI 5,0.0,0.0,Jalen Hurts pass incomplete deep left intended for A.J. Brown,-1.15,-2.01,1.0,2024,2
1.0,10:57,3.0,15.0,PHI 5,0.0,0.0,Jalen Hurts pass deep left intended for DeVonta Smith is intercepted by Xavier McKinney at PHI-36 and returned for 17 yards (tackle by Jordan Mailata),-2.01,-4.31,1.0,2024,2
1.0,10:46,1.0,10.0,PHI 19,0.0,0.0,"Jordan Love sacked by Zack Baun for -5 yards. Penalty on Jalen Carter: Unnecessary Roughness / Defense, 12 yards (accepted)",4.31,4.78,1.0,2024,2
1.0,10:19,1.0,10.0,PHI 12,0.0,0.0,Josh Jacobs right tackle for no gain (tackle by C.J. Gardner-Johnson),4.78,4.1,1.0,2024,2
1.0,9:39,2.0,10.0,PHI 12,0.0,0.0,"Jordan Love pass complete short right to Luke Musgrave for no gain (tackle by C.J. Gardner-Johnson). Penalty on Rasheed Walker: Offensive Holding, 10 yards (accepted) (no play)",4.1,2.87,1.0,2024,2
1.0,9:17,2.0,20.0,PHI 22,0.0,0.0,Jordan Love pass incomplete short middle intended for Dontayvion Wicks,2.87,2.21,1.0,2024,2
1.0,9:13,3.0,20.0,PHI 22,0.0,0.0,Jordan Love pass complete short left to Josh Jacobs for 9 yards (tackle by Avonte Maddox and Thomas Booker),2.21,2.57,1.0,2024,2
1.0,8:30,4.0,11.0,PHI 13,3.0,0.0,Brayden Narveson 31 yard field goal good,2.57,3.0,1.0,2024,2
