Quarter,Time,Tm,Detail,CAR,NOR,week,year,game_id
1.0,12:08,Saints,Rashid Shaheed 59 yard pass from Derek Carr (Blake Grupe kick),0,7,1.0,2024,5
,10:04,Saints,Blake Grupe 57 yard field goal,0,10,1.0,2024,5
,1:23,Saints,Foster Moreau 3 yard pass from Derek Carr (Blake Grupe kick),0,17,1.0,2024,5
2.0,7:03,Saints,Blake Grupe 44 yard field goal,0,20,1.0,2024,5
,2:08,Saints,Blake Grupe 52 yard field goal,0,23,1.0,2024,5
,1:18,Saints,Juwan Johnson 16 yard pass from Derek Carr (Blake Grupe kick),0,30,1.0,2024,5
,0:00,Panthers,Eddy Piñeiro 43 yard field goal,3,30,1.0,2024,5
3.0,8:27,Saints,Alvin Kamara 1 yard rush (Blake Grupe kick),3,37,1.0,2024,5
,4:55,Panthers,Bryce Young 3 yard rush (Eddy Piñeiro kick),10,37,1.0,2024,5
4.0,13:08,Saints,Blake Grupe 39 yard field goal,10,40,1.0,2024,5
,10:38,Saints,Jamaal Williams 14 yard rush (Blake Grupe kick),10,47,1.0,2024,5
