Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Bo Nix,DEN,26,42,138,6,13.6,266,6.3,70,2.7,1.7,68,2.6,2,4.8%,9,21.4%,2,10,4,7,13,26.5%,5,7.0,1.0,2024,11
Geno Smith,SEA,18,25,171,11,40.7,167,6.7,104,5.8,4.2,67,3.7,0,0.0%,7,28.0%,2,10,1,5,8,28.6%,1,34.0,1.0,2024,11
