Unnamed: 0,DEN,SEA,week,year,game_id
First Downs,13,19,1.0,2024,11
Rush-Yds-TDs,25-99-1,33-146-2,1.0,2024,11
Cmp-Att-Yd-TD-INT,26-42-138-0-2,18-25-171-1-1,1.0,2024,11
Sacked-Yards,2-6,2-13,1.0,2024,11
Net Pass Yards,132,158,1.0,2024,11
Total Yards,231,304,1.0,2024,11
Fumbles-Lost,2-1,1-1,1.0,2024,11
Turnovers,3,2,1.0,2024,11
Penalties-Yards,8-60,6-41,1.0,2024,11
Third Down Conv.,5-18,4-12,1.0,2024,11
Fourth Down Conv.,1-1,0-0,1.0,2024,11
Time of Possession,31:14,28:46,1.0,2024,11
