Unnamed: 0,HOU,IND,week,year,game_id
First Downs,26,14,1.0,2024,8
Rush-Yds-TDs,40-213-1,22-104-2,1.0,2024,8
Cmp-Att-Yd-TD-INT,24-32-234-2-0,9-19-212-2-1,1.0,2024,8
Sacked-Yards,4-30,2-13,1.0,2024,8
Net Pass Yards,204,199,1.0,2024,8
Total Yards,417,303,1.0,2024,8
Fumbles-Lost,0-0,0-0,1.0,2024,8
Turnovers,0,1,1.0,2024,8
Penalties-Yards,5-30,4-20,1.0,2024,8
Third Down Conv.,7-14,5-10,1.0,2024,8
Fourth Down Conv.,2-2,1-2,1.0,2024,8
Time of Possession,40:00,20:00,1.0,2024,8
