Unnamed: 0,LAR,DET,week,year,game_id
First Downs,26,21,1.0,2024,15
Rush-Yds-TDs,23-83-1,31-163-2,1.0,2024,15
Cmp-Att-Yd-TD-INT,34-49-317-1-1,18-28-217-1-1,1.0,2024,15
Sacked-Yards,2-13,2-17,1.0,2024,15
Net Pass Yards,304,200,1.0,2024,15
Total Yards,387,363,1.0,2024,15
Fumbles-Lost,0-0,0-0,1.0,2024,15
Turnovers,1,1,1.0,2024,15
Penalties-Yards,6-50,6-56,1.0,2024,15
Third Down Conv.,5-12,6-13,1.0,2024,15
Fourth Down Conv.,1-2,1-1,1.0,2024,15
Time of Possession,34:56,29:45,1.0,2024,15
