Quarter,Time,Down,ToGo,Location,DEN,SEA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss and deferred, Seahawks to receive the opening kickoff.",,,1.0,2024,11
1.0,15:00,,,DEN 35,0.0,0.0,"Wil Lutz kicks off 66 yards, returned by Laviska Shenault for 31 yards (tackle by JL Skinner)",0.0,0.94,1.0,2024,11
1.0,14:55,1.0,10.0,SEA 30,0.0,0.0,Geno Smith sacked by Jonathon Cooper for -7 yards,0.94,-0.55,1.0,2024,11
1.0,14:22,2.0,17.0,SEA 23,0.0,0.0,Geno Smith pass deep middle intended for Tyler Lockett is intercepted by Alex Singleton at SEA-41 and returned for 21 yards (tackle by Jaxon Smith-Njigba),-0.55,-4.24,1.0,2024,11
1.0,14:12,1.0,10.0,SEA 20,0.0,0.0,Javonte Williams left tackle for 9 yards (tackle by Rayshawn Jenkins),4.24,5.26,1.0,2024,11
1.0,13:27,2.0,1.0,SEA 11,0.0,0.0,Javonte Williams up the middle for -1 yards (tackle by Johnathan Hankins),5.26,4.34,1.0,2024,11
1.0,12:47,3.0,2.0,SEA 12,0.0,0.0,Bo Nix pass incomplete short right intended for Javonte Williams,4.34,2.76,1.0,2024,11
1.0,12:40,4.0,2.0,SEA 12,0.0,0.0,"Penalty on Wil Lutz: Delay of Game, 5 yards (accepted) (no play)",2.76,2.31,1.0,2024,11
1.0,12:40,4.0,7.0,SEA 17,3.0,0.0,Wil Lutz 35 yard field goal good,2.31,3.0,1.0,2024,11
1.0,12:36,,,DEN 35,3.0,0.0,"Wil Lutz kicks off 67 yards, returned by Laviska Shenault for 29 yards (tackle by Kristian Welch and Michael Burton)",0.0,0.74,1.0,2024,11
1.0,12:31,1.0,10.0,SEA 27,3.0,0.0,"Penalty on Laviska Shenault: False Start, 5 yards (accepted) (no play)",0.74,0.41,1.0,2024,11
1.0,12:31,1.0,15.0,SEA 22,3.0,0.0,Kenneth Walker left guard for 8 yards (tackle by Cody Barton),0.41,0.6,1.0,2024,11
1.0,11:47,2.0,7.0,SEA 30,3.0,0.0,Geno Smith pass complete short right to Noah Fant for 2 yards (tackle by Brandon Jones),0.6,0.17,1.0,2024,11
1.0,11:09,3.0,5.0,SEA 32,3.0,0.0,Geno Smith pass incomplete deep right intended for D.K. Metcalf (defended by Patrick Surtain),0.17,-1.24,1.0,2024,11
1.0,11:04,4.0,5.0,SEA 32,3.0,0.0,"Michael Dickson punts 44 yards, returned by Marvin Mims for 11 yards (tackle by Laviska Shenault)",-1.24,-1.27,1.0,2024,11
1.0,10:54,1.0,10.0,DEN 35,3.0,0.0,Bo Nix pass complete short right to Jaleel McLaughlin for 3 yards (tackle by Tyrel Dodson and Devon Witherspoon),1.27,1.13,1.0,2024,11
1.0,10:15,2.0,7.0,DEN 38,3.0,0.0,Bo Nix pass complete short left to Jaleel McLaughlin for -2 yards (tackle by Julian Love),1.13,0.17,1.0,2024,11
1.0,9:50,3.0,9.0,DEN 36,3.0,0.0,Bo Nix pass complete short right to Devaughn Vele for 4 yards (tackle by Rayshawn Jenkins),0.17,-0.72,1.0,2024,11
1.0,9:11,4.0,5.0,DEN 40,3.0,0.0,"Riley Dixon punts 39 yards, fair catch by Dee Williams at SEA-21",-0.72,-0.34,1.0,2024,11
