Unnamed: 0,NWE,CIN,week,year,game_id
First Downs,17,13,1.0,2024,7
Rush-Yds-TDs,39-170-1,16-70-1,1.0,2024,7
Cmp-Att-Yd-TD-INT,15-24-121-0-0,21-29-164-0-0,1.0,2024,7
Sacked-Yards,1-1,3-10,1.0,2024,7
Net Pass Yards,120,154,1.0,2024,7
Total Yards,290,224,1.0,2024,7
Fumbles-Lost,1-0,3-2,1.0,2024,7
Turnovers,0,2,1.0,2024,7
Penalties-Yards,5-40,2-10,1.0,2024,7
Third Down Conv.,6-15,4-11,1.0,2024,7
Fourth Down Conv.,0-0,0-1,1.0,2024,7
Time of Possession,34:03,25:57,1.0,2024,7
