Quarter,Time,Down,ToGo,Location,LVR,LAC,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Raiders won the coin toss and deferred, Chargers to receive the opening kickoff.",,,1.0,2024,12
1.0,15:00,,,LVR 35,0.0,0.0,"Daniel Carlson kicks off 64 yards, returned by Derius Davis for 35 yards (tackle by Tyreik McAllister and DJ Turner)",0.0,1.33,1.0,2024,12
1.0,14:50,1.0,10.0,LAC 36,0.0,0.0,Justin Herbert pass complete short right to Will Dissly for 13 yards (tackle by Divine Deablo),1.33,2.19,1.0,2024,12
1.0,14:25,1.0,10.0,LAC 49,0.0,0.0,Gus Edwards up the middle for 6 yards (tackle by Christian Wilkins),2.19,2.46,1.0,2024,12
1.0,14:01,2.0,4.0,LVR 45,0.0,0.0,"Penalty on Will Dissly: False Start, 5 yards (accepted) (no play)",2.46,1.78,1.0,2024,12
1.0,13:42,2.0,9.0,LVR 50,0.0,0.0,"Justin Herbert sacked by Robert Spillane for no gain. Justin Herbert fumbles (forced by Robert Spillane), recovered by Rashawn Slater at LAC-35 (tackle by Robert Spillane). Penalty on Charles Snowden: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.78,2.46,1.0,2024,12
1.0,13:23,2.0,4.0,LVR 45,0.0,0.0,Gus Edwards up the middle for no gain (tackle by Maxx Crosby),2.46,1.75,1.0,2024,12
1.0,12:41,3.0,4.0,LVR 45,0.0,0.0,Justin Herbert sacked by Maxx Crosby for -4 yards,1.75,0.0,1.0,2024,12
1.0,11:53,4.0,8.0,LVR 49,0.0,0.0,JK Scott punts 28 yards out of bounds,0.0,-0.34,1.0,2024,12
1.0,11:44,1.0,10.0,LVR 21,0.0,0.0,Gardner Minshew pass complete short right to Jakobi Meyers for 9 yards (tackle by Asante Samuel),0.34,1.02,1.0,2024,12
1.0,11:09,2.0,1.0,LVR 30,0.0,0.0,Zamir White up the middle for no gain (tackle by Otito Ogbonnia),1.02,0.3,1.0,2024,12
1.0,10:25,3.0,1.0,LVR 30,0.0,0.0,Zamir White right tackle for no gain (tackle by Joey Bosa),0.3,-1.37,1.0,2024,12
1.0,9:40,4.0,1.0,LVR 30,0.0,0.0,"AJ Cole punts 57 yards, fair catch by Derius Davis at LAC-13",-1.37,0.32,1.0,2024,12
1.0,9:30,1.0,10.0,LAC 13,0.0,0.0,J.K. Dobbins left guard for 3 yards (tackle by Christian Wilkins),-0.32,-0.44,1.0,2024,12
1.0,8:56,2.0,7.0,LAC 16,0.0,0.0,"Penalty on Will Dissly: False Start, 5 yards (accepted) (no play)",-0.44,-0.93,1.0,2024,12
1.0,8:32,2.0,12.0,LAC 11,0.0,0.0,Justin Herbert pass complete short middle to Hayden Hurst for 6 yards (tackle by Marcus Epps and Robert Spillane),-0.93,-0.94,1.0,2024,12
1.0,7:45,3.0,6.0,LAC 17,0.0,0.0,Justin Herbert pass incomplete deep left intended for Quentin Johnston (defended by Jakorian Bennett),-0.94,-2.32,1.0,2024,12
1.0,7:39,4.0,6.0,LAC 17,0.0,0.0,"JK Scott punts 51 yards, fair catch by Tre Tucker at LV-32",-2.32,-1.07,1.0,2024,12
1.0,7:31,1.0,10.0,LVR 32,0.0,0.0,Gardner Minshew pass incomplete deep right intended for Davante Adams,1.07,0.53,1.0,2024,12
1.0,7:26,2.0,10.0,LVR 32,0.0,0.0,Gardner Minshew pass complete short right to Zamir White for 1 yard (tackle by Asante Samuel),0.53,-0.03,1.0,2024,12
1.0,6:46,3.0,9.0,LVR 33,0.0,0.0,Gardner Minshew pass complete short left to Tre Tucker for 8 yards (tackle by Junior Colson),-0.03,-0.65,1.0,2024,12
1.0,6:02,4.0,1.0,LVR 41,0.0,0.0,Zamir White up the middle for -1 yards (tackle by Poona Ford),-0.65,-2.92,1.0,2024,12
1.0,5:55,1.0,10.0,LVR 40,0.0,0.0,Gus Edwards right guard for 2 yards (tackle by Adam Butler),2.92,2.64,1.0,2024,12
1.0,5:22,2.0,8.0,LVR 38,0.0,0.0,"Gus Edwards up the middle for no gain (tackle by Christian Wilkins). Penalty on Will Dissly: Offensive Holding, 10 yards (accepted) (no play)",2.64,1.29,1.0,2024,12
1.0,4:57,2.0,18.0,LVR 48,0.0,0.0,Justin Herbert pass incomplete short middle intended for Ladd McConkey (defended by Nate Hobbs),1.29,0.63,1.0,2024,12
1.0,4:52,3.0,18.0,LVR 48,0.0,0.0,Justin Herbert pass complete short middle to Quentin Johnston for 13 yards (tackle by Tre'von Moehrig),0.63,0.98,1.0,2024,12
1.0,4:27,4.0,5.0,LVR 35,0.0,3.0,Cameron Dicker 53 yard field goal good,0.98,3.0,1.0,2024,12
1.0,4:22,,,LAC 35,0.0,3.0,"Cameron Dicker kicks off 60 yards, returned by Ameer Abdullah for 28 yards (tackle by Junior Colson and Daiyan Henley)",0.0,1.14,1.0,2024,12
1.0,4:13,1.0,10.0,LVR 33,0.0,3.0,Jakobi Meyers left end for 3 yards (tackle by Alohi Gilman),1.14,1.0,1.0,2024,12
1.0,3:36,2.0,7.0,LVR 36,0.0,3.0,Alexander Mattison left tackle for 3 yards (tackle by Kristian Fulton and Otito Ogbonnia),1.0,0.7,1.0,2024,12
1.0,2:50,3.0,4.0,LVR 39,0.0,3.0,Gardner Minshew pass complete short middle to Davante Adams for 18 yards (tackle by Alohi Gilman),0.7,2.72,1.0,2024,12
1.0,2:11,1.0,10.0,LAC 43,0.0,3.0,Gardner Minshew pass incomplete short left intended for Brock Bowers,2.72,2.18,1.0,2024,12
1.0,2:07,2.0,10.0,LAC 43,0.0,3.0,Alexander Mattison up the middle for 1 yard (tackle by Denzel Perryman),2.18,1.62,1.0,2024,12
1.0,1:40,3.0,9.0,LAC 42,0.0,3.0,Gardner Minshew pass complete short right to Davante Adams for 11 yards (tackle by Asante Samuel),1.62,3.51,1.0,2024,12
