Quarter,Time,Down,ToGo,Location,WAS,TAM,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Buccaneers won the coin toss, Buccaneers to receive the opening kickoff.",,,1.0,2024,14
1.0,15:00,,,WAS 35,0.0,0.0,"Cade York kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,14
1.0,15:00,1.0,10.0,TAM 30,0.0,0.0,Rachaad White right end for 4 yards (tackle by Frankie Luvu),0.94,0.93,1.0,2024,14
1.0,14:23,2.0,6.0,TAM 34,0.0,0.0,Baker Mayfield pass complete short left to Rachaad White for 5 yards (tackle by Mike Sainristil),0.93,0.89,1.0,2024,14
1.0,13:49,3.0,1.0,TAM 39,0.0,0.0,"Baker Mayfield pass incomplete deep left intended for Jalen McMillan. Penalty on Clelin Ferrell: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",0.89,1.86,1.0,2024,14
1.0,13:45,1.0,10.0,TAM 44,0.0,0.0,Baker Mayfield pass complete short right to Chris Godwin for 11 yards (tackle by Benjamin St-Juste),1.86,2.59,1.0,2024,14
1.0,13:12,1.0,10.0,WAS 45,0.0,0.0,Rachaad White right tackle for 5 yards (tackle by Dante Fowler and Jeremy Chinn),2.59,2.72,1.0,2024,14
1.0,12:28,2.0,5.0,WAS 40,0.0,0.0,Rachaad White left end for 2 yards (tackle by Quan Martin),2.72,2.28,1.0,2024,14
1.0,11:43,3.0,3.0,WAS 38,0.0,0.0,Baker Mayfield pass incomplete deep right intended for Jalen McMillan,2.28,0.72,1.0,2024,14
1.0,11:39,4.0,3.0,WAS 38,0.0,3.0,Chase McLaughlin 56 yard field goal good,0.72,3.0,1.0,2024,14
1.0,11:34,,,TAM 35,0.0,3.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,14
1.0,11:34,1.0,10.0,WAS 30,0.0,3.0,Jayden Daniels aborted snap. Jayden Daniels fumbles out of bounds,0.94,-1.78,1.0,2024,14
1.0,10:57,2.0,25.0,WAS 15,0.0,3.0,Jayden Daniels pass complete short left to Brian Robinson for 4 yards (tackle by Jamel Dean and Tykee Smith),-1.78,-1.87,1.0,2024,14
1.0,10:17,3.0,21.0,WAS 19,0.0,3.0,Jayden Daniels scrambles left end for 4 yards (tackle by Jamel Dean),-1.87,-1.83,1.0,2024,14
1.0,9:41,4.0,17.0,WAS 23,0.0,3.0,"Tress Way punts 54 yards, returned by Trey Palmer for 15 yards (tackle by Jeremy McNichols)",-1.83,-1.47,1.0,2024,14
1.0,9:30,1.0,10.0,TAM 38,0.0,3.0,Baker Mayfield pass complete short right to Mike Evans for 13 yards (tackle by Benjamin St-Juste),1.47,2.32,1.0,2024,14
1.0,8:59,1.0,10.0,WAS 49,0.0,3.0,Rachaad White left end for -1 yards (tackle by Bobby Wagner),2.32,1.65,1.0,2024,14
1.0,8:16,2.0,11.0,WAS 50,0.0,3.0,Baker Mayfield pass incomplete short right intended for Trey Palmer (defended by Benjamin St-Juste),1.65,0.96,1.0,2024,14
1.0,8:12,3.0,11.0,WAS 50,0.0,3.0,"Penalty on Bobby Wagner: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",0.96,1.62,1.0,2024,14
1.0,8:12,3.0,6.0,WAS 45,0.0,3.0,Baker Mayfield pass complete deep right to Mike Evans for 24 yards,1.62,4.17,1.0,2024,14
1.0,7:34,1.0,10.0,WAS 21,0.0,3.0,Kameron Johnson right tackle for no gain (tackle by Jamin Davis),4.17,3.63,1.0,2024,14
1.0,6:58,2.0,10.0,WAS 21,0.0,3.0,"Baker Mayfield pass complete short left to Chris Godwin for 5 yards (tackle by Quan Martin). Penalty on Trey Palmer: Offensive Holding, 10 yards (accepted)",3.63,2.95,1.0,2024,14
1.0,6:39,2.0,15.0,WAS 26,0.0,3.0,Baker Mayfield scrambles up the middle for 2 yards (tackle by Bobby Wagner),2.95,2.54,1.0,2024,14
1.0,5:58,3.0,13.0,WAS 24,0.0,3.0,Baker Mayfield scrambles right end for 8 yards (tackle by Bobby Wagner),2.54,2.43,1.0,2024,14
1.0,5:11,4.0,5.0,WAS 16,0.0,6.0,Chase McLaughlin 34 yard field goal good,2.43,3.0,1.0,2024,14
1.0,5:08,,,TAM 35,0.0,6.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,14
1.0,5:08,1.0,10.0,WAS 30,0.0,6.0,Brian Robinson up the middle for 2 yards (tackle by Greg Gaines and Antoine Winfield),0.94,0.66,1.0,2024,14
1.0,4:41,2.0,8.0,WAS 32,0.0,6.0,Jayden Daniels scrambles right end for 9 yards (tackle by Antoine Winfield),0.66,1.66,1.0,2024,14
1.0,3:55,1.0,10.0,WAS 41,0.0,6.0,Brian Robinson left tackle for -1 yards (tackle by Vita Vea and William Gholston),1.66,0.99,1.0,2024,14
1.0,3:19,2.0,11.0,WAS 40,0.0,6.0,Jayden Daniels pass complete short right to Zach Ertz for 7 yards (tackle by Lavonte David),0.99,1.22,1.0,2024,14
1.0,2:39,3.0,4.0,WAS 47,0.0,6.0,Jayden Daniels scrambles left end for 17 yards,1.22,3.18,1.0,2024,14
1.0,2:03,1.0,10.0,TAM 36,0.0,6.0,Jayden Daniels pass complete short right to Luke McCaffrey for no gain (tackle by Zyon McCollum),3.18,2.64,1.0,2024,14
1.0,1:21,2.0,10.0,TAM 36,0.0,6.0,Brian Robinson right end for 4 yards (tackle by Jordan Whitehead and Lavonte David),2.64,2.48,1.0,2024,14
1.0,0:45,3.0,6.0,TAM 32,0.0,6.0,"Jayden Daniels pass complete short right to Brian Robinson for 13 yards (tackle by SirVocea Dennis). Penalty on Olamide Zaccheaus: Illegal Blindside Block, 10 yards (accepted)",2.48,2.87,1.0,2024,14
1.0,0:24,3.0,3.0,TAM 29,0.0,6.0,Jayden Daniels pass incomplete short right intended for Olamide Zaccheaus,2.87,1.58,1.0,2024,14
1.0,0:21,4.0,3.0,TAM 29,0.0,6.0,Cade York 47 yard field goal no good,1.58,-1.4,1.0,2024,14
1.0,0:16,1.0,10.0,TAM 37,0.0,6.0,Bucky Irving left guard for 8 yards (tackle by Benjamin St-Juste),1.4,1.94,1.0,2024,14
2.0,15:00,2.0,2.0,TAM 45,0.0,6.0,"Penalty on Luke Goedeke: False Start, 5 yards (accepted) (no play)",1.94,1.26,1.0,2024,14
2.0,15:00,2.0,7.0,TAM 40,0.0,6.0,"Penalty on Trey Palmer: False Start, 5 yards (accepted) (no play)",1.26,0.59,1.0,2024,14
2.0,15:00,2.0,12.0,TAM 35,0.0,6.0,Baker Mayfield pass complete short left to Bucky Irving for 5 yards (tackle by Daron Payne),0.59,0.56,1.0,2024,14
2.0,14:22,3.0,7.0,TAM 40,0.0,6.0,Baker Mayfield pass complete short middle to Chris Godwin for 11 yards (tackle by Dorance Armstrong and Emmanuel Forbes),0.56,2.32,1.0,2024,14
2.0,13:41,1.0,10.0,WAS 49,0.0,6.0,Bucky Irving left tackle for -4 yards (tackle by Jamin Davis),2.32,1.24,1.0,2024,14
2.0,13:02,2.0,14.0,TAM 47,0.0,6.0,Baker Mayfield pass complete deep right to Trey Palmer for 19 yards,1.24,3.31,1.0,2024,14
2.0,12:26,1.0,10.0,WAS 34,0.0,6.0,Rachaad White left end for -2 yards (tackle by Sheldon Day and Jamin Davis),3.31,2.5,1.0,2024,14
2.0,11:44,2.0,12.0,WAS 36,0.0,6.0,Baker Mayfield pass complete short left to Rachaad White for 19 yards (tackle by Benjamin St-Juste),2.5,4.44,1.0,2024,14
2.0,10:59,1.0,10.0,WAS 17,0.0,12.0,"Baker Mayfield pass complete deep left to Mike Evans for 17 yards, touchdown",4.44,7.0,1.0,2024,14
2.0,10:53,,,WAS 15,0.0,13.0,Chase McLaughlin kicks extra point good,0.0,0.0,1.0,2024,14
2.0,10:53,,,TAM 35,0.0,13.0,"Jake Camarda kicks off 63 yards, returned by Austin Ekeler for 24 yards (tackle by SirVocea Dennis)",0.0,0.67,1.0,2024,14
2.0,10:47,1.0,10.0,WAS 26,0.0,13.0,Brian Robinson left guard for 2 yards (tackle by Lavonte David and Chris Braswell),0.67,0.4,1.0,2024,14
2.0,10:10,2.0,8.0,WAS 28,0.0,13.0,Jayden Daniels scrambles left end for 16 yards (tackle by Jordan Whitehead),0.4,1.86,1.0,2024,14
2.0,9:24,1.0,10.0,WAS 44,0.0,13.0,"Jayden Daniels pass incomplete short middle intended for John Bates. Penalty on Andrew Wylie: Ineligible Downfield Pass, 5 yards (declined)",1.86,1.32,1.0,2024,14
2.0,9:24,2.0,10.0,WAS 44,0.0,13.0,Jayden Daniels pass complete short middle to Austin Ekeler for 22 yards (tackle by Jordan Whitehead),1.32,3.31,1.0,2024,14
2.0,8:34,1.0,10.0,TAM 34,0.0,13.0,Jayden Daniels pass incomplete deep left intended for Terry McLaurin,3.31,2.77,1.0,2024,14
2.0,8:29,,,,,,Timeout #1 by Washington Commanders,,,1.0,2024,14
2.0,8:29,2.0,10.0,TAM 34,0.0,13.0,"Jayden Daniels scrambles right guard for 12 yards (tackle by Antoine Winfield). Penalty on Antoine Winfield: Personal Foul / Defense, 11 yards (accepted)",2.77,4.84,1.0,2024,14
2.0,8:01,1.0,10.0,TAM 11,0.0,13.0,Austin Ekeler left guard for 4 yards (tackle by K.J. Britt and Vita Vea),4.84,4.89,1.0,2024,14
2.0,7:23,2.0,6.0,TAM 7,6.0,13.0,"Brian Robinson left tackle for 7 yards, touchdown",4.89,7.0,1.0,2024,14
