Quarter,Time,Down,ToGo,Location,NYJ,SFO,Detail,EPB,EPA,week,year,game_id
,,,,,,,"49ers won the coin toss and deferred, Jets to receive the opening kickoff.",,,1.0,2024,16
1.0,15:00,,,SFO 35,0.0,0.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,16
1.0,15:00,1.0,10.0,NYJ 30,0.0,0.0,Breece Hall left end for 4 yards (tackle by Ji'Ayir Brown),0.94,0.93,1.0,2024,16
1.0,14:27,2.0,6.0,NYJ 34,0.0,0.0,Breece Hall right tackle for 3 yards (tackle by Fred Warner and Leonard Floyd),0.93,0.63,1.0,2024,16
1.0,13:41,3.0,3.0,NYJ 37,0.0,0.0,Aaron Rodgers pass incomplete short left intended for Allen Lazard,0.63,-0.91,1.0,2024,16
1.0,13:38,4.0,3.0,NYJ 37,0.0,0.0,"Thomas Morstead punts 55 yards, fair catch by Jacob Cowing at SF-8",-0.91,0.38,1.0,2024,16
1.0,13:31,1.0,10.0,SFO 8,0.0,0.0,Jordan Mason up the middle for 2 yards (tackle by Jamien Sherwood),-0.38,-0.63,1.0,2024,16
1.0,12:51,2.0,8.0,SFO 10,0.0,0.0,Brock Purdy pass complete short right to George Kittle for 6 yards (tackle by Quincy Williams and Sauce Gardner),-0.63,-0.48,1.0,2024,16
1.0,12:10,3.0,2.0,SFO 16,0.0,0.0,Brock Purdy pass incomplete deep left intended for Deebo Samuel,-0.48,-2.39,1.0,2024,16
1.0,12:04,4.0,2.0,SFO 16,0.0,0.0,"Mitch Wishnowsky punts 58 yards, returned by Xavier Gipson for 4 yards (tackle by Renardo Green)",-2.39,-0.94,1.0,2024,16
1.0,11:54,1.0,10.0,NYJ 30,0.0,0.0,"Aaron Rodgers pass complete short left to Breece Hall for 2 yards. Breece Hall fumbles (forced by Fred Warner), recovered by Maliek Collins at NYJ-32",0.94,-3.45,1.0,2024,16
1.0,11:47,1.0,10.0,NYJ 32,0.0,0.0,Deebo Samuel right guard for 3 yards (tackle by C.J. Mosley),3.45,3.31,1.0,2024,16
1.0,11:11,2.0,7.0,NYJ 29,0.0,0.0,Brock Purdy pass incomplete short right intended for Deebo Samuel (defended by Quincy Williams),3.31,2.61,1.0,2024,16
1.0,11:08,3.0,7.0,NYJ 29,0.0,0.0,Brock Purdy pass incomplete deep right intended for Deebo Samuel,2.61,1.5,1.0,2024,16
1.0,11:03,4.0,7.0,NYJ 29,0.0,3.0,Jake Moody 46 yard field goal good,1.5,3.0,1.0,2024,16
1.0,10:58,,,SFO 35,0.0,3.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,16
1.0,10:58,1.0,10.0,NYJ 30,0.0,3.0,Breece Hall right guard for no gain (tackle by Maliek Collins),0.94,0.39,1.0,2024,16
1.0,10:19,2.0,10.0,NYJ 30,0.0,3.0,Breece Hall right end for 2 yards (tackle by Fred Warner and Nick Bosa),0.39,-0.03,1.0,2024,16
1.0,9:35,3.0,8.0,NYJ 32,0.0,3.0,Aaron Rodgers pass complete deep left to Garrett Wilson for 16 yards (tackle by Deommodore Lenoir),-0.03,2.13,1.0,2024,16
1.0,8:58,1.0,10.0,NYJ 48,0.0,3.0,Aaron Rodgers pass complete short middle to Breece Hall for 3 yards (tackle by Fred Warner),2.13,1.99,1.0,2024,16
1.0,8:15,2.0,7.0,SFO 49,0.0,3.0,Breece Hall up the middle for no gain (tackle by Maliek Collins),1.99,1.29,1.0,2024,16
1.0,7:32,3.0,7.0,SFO 49,0.0,3.0,Aaron Rodgers pass complete short middle to Garrett Wilson for 14 yards (tackle by George Odum),1.29,3.25,1.0,2024,16
1.0,6:55,1.0,10.0,SFO 35,0.0,3.0,Aaron Rodgers pass complete short left to Breece Hall for 13 yards (tackle by Fred Warner),3.25,4.11,1.0,2024,16
1.0,6:09,1.0,10.0,SFO 22,0.0,3.0,Breece Hall up the middle for 3 yards (tackle by Sam Okuayinonu),4.11,3.97,1.0,2024,16
1.0,5:26,2.0,7.0,SFO 19,0.0,3.0,Aaron Rodgers pass incomplete short middle intended for Allen Lazard,3.97,3.26,1.0,2024,16
1.0,5:21,3.0,7.0,SFO 19,0.0,3.0,Aaron Rodgers pass complete short middle to Garrett Wilson for 8 yards (tackle by De'Vondre Campbell),3.26,4.84,1.0,2024,16
1.0,4:38,1.0,10.0,SFO 11,0.0,3.0,Aaron Rodgers pass complete short left to Garrett Wilson for 8 yards (tackle by Isaac Yiadom),4.84,5.66,1.0,2024,16
1.0,3:57,2.0,2.0,SFO 3,6.0,3.0,"Breece Hall right tackle for 3 yards, touchdown",5.66,7.0,1.0,2024,16
1.0,3:51,,,SFO 15,7.0,3.0,Greg Zuerlein kicks extra point good,0.0,0.0,1.0,2024,16
1.0,3:51,,,NYJ 35,7.0,3.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,16
1.0,3:51,1.0,10.0,SFO 30,7.0,3.0,Jordan Mason left end for 4 yards (tackle by Tony Adams),0.94,0.93,1.0,2024,16
1.0,3:15,2.0,6.0,SFO 34,7.0,3.0,Jordan Mason right guard for 13 yards (tackle by Tony Adams),0.93,2.06,1.0,2024,16
1.0,2:33,1.0,10.0,SFO 47,7.0,3.0,Deebo Samuel up the middle for 5 yards (tackle by Tony Adams),2.06,2.19,1.0,2024,16
1.0,1:50,2.0,5.0,NYJ 48,7.0,3.0,Brock Purdy pass incomplete short right intended for Brandon Aiyuk (defended by Sauce Gardner),2.19,1.49,1.0,2024,16
1.0,1:45,3.0,5.0,NYJ 48,7.0,3.0,Brock Purdy pass complete short right to Brandon Aiyuk for 14 yards (tackle by Tony Adams),1.49,3.31,1.0,2024,16
1.0,1:03,1.0,10.0,NYJ 34,7.0,3.0,"Brock Purdy sacked by Tony Adams for no gain Penalty on SFO: Illegal Formation, 5 yards (declined)",3.31,2.77,1.0,2024,16
1.0,0:35,2.0,10.0,NYJ 34,7.0,3.0,Jordan Mason left tackle for 5 yards (tackle by Javon Kinlaw),2.77,2.74,1.0,2024,16
2.0,15:00,3.0,5.0,NYJ 29,7.0,3.0,Deebo Samuel sacked by Sauce Gardner for -4 yards,2.74,1.15,1.0,2024,16
2.0,14:10,4.0,9.0,NYJ 33,7.0,6.0,Jake Moody 51 yard field goal good,1.15,3.0,1.0,2024,16
2.0,14:04,,,SFO 35,7.0,6.0,"Jake Moody kicks off 62 yards, returned by Xavier Gipson for 27 yards (tackle by Robert Beal)",0.0,0.94,1.0,2024,16
2.0,13:59,1.0,10.0,NYJ 30,7.0,6.0,Aaron Rodgers pass incomplete deep left intended for Garrett Wilson,0.94,0.39,1.0,2024,16
2.0,13:52,2.0,10.0,NYJ 30,7.0,6.0,Breece Hall right guard for 5 yards (tackle by Charvarius Ward),0.39,0.37,1.0,2024,16
2.0,13:09,3.0,5.0,NYJ 35,7.0,6.0,"Aaron Rodgers sacked by Leonard Floyd for -5 yards. Penalty on Tyron Smith: Offensive Holding, 10 yards (declined)",0.37,-1.37,1.0,2024,16
2.0,12:53,4.0,10.0,NYJ 30,7.0,6.0,"Thomas Morstead punts 45 yards, returned by Jacob Cowing for 8 yards (tackle by Chazz Surratt)",-1.37,-1.14,1.0,2024,16
2.0,12:43,1.0,10.0,SFO 33,7.0,6.0,Brock Purdy scrambles left guard for 11 yards (tackle by Ashtyn Davis),1.14,1.86,1.0,2024,16
2.0,12:07,1.0,10.0,SFO 44,7.0,6.0,Deebo Samuel right end for 6 yards (tackle by C.J. Mosley),1.86,2.13,1.0,2024,16
2.0,11:33,2.0,4.0,NYJ 50,7.0,6.0,Jordan Mason left guard for 5 yards (tackle by Tony Adams and Solomon Thomas),2.13,2.59,1.0,2024,16
2.0,10:52,1.0,10.0,NYJ 45,7.0,6.0,Jordan Mason right end for 6 yards (tackle by Quincy Williams),2.59,2.85,1.0,2024,16
2.0,10:12,2.0,4.0,NYJ 39,7.0,6.0,Jordan Mason right guard for 9 yards (tackle by Tony Adams and Chuck Clark),2.85,3.58,1.0,2024,16
2.0,9:27,1.0,10.0,NYJ 30,7.0,6.0,"Jordan Mason right end for 1 yard (tackle by Tony Adams). Penalty on Colton McKivitz: Offensive Holding, 10 yards (accepted)",3.58,2.98,1.0,2024,16
2.0,9:01,1.0,19.0,NYJ 39,7.0,6.0,Brock Purdy pass incomplete short left intended for Deebo Samuel (defended by D.J. Reed),2.98,1.82,1.0,2024,16
2.0,8:56,2.0,19.0,NYJ 39,7.0,6.0,Brock Purdy pass complete deep middle to Jauan Jennings for 22 yards (tackle by Tony Adams and Jamien Sherwood),1.82,4.44,1.0,2024,16
2.0,8:17,1.0,10.0,NYJ 17,7.0,6.0,"Jordan Mason right end for 11 yards, touchdown. Penalty on Deebo Samuel: Offensive Holding, 10 yards (accepted)",4.44,4.63,1.0,2024,16
2.0,8:11,1.0,9.0,NYJ 16,7.0,6.0,Deebo Samuel left end for 3 yards (tackle by D.J. Reed),4.63,4.5,1.0,2024,16
2.0,7:43,2.0,6.0,NYJ 13,7.0,6.0,Jordan Mason left tackle for 11 yards (tackle by Chuck Clark),4.5,6.74,1.0,2024,16
2.0,7:00,1.0,2.0,NYJ 2,7.0,12.0,"Deebo Samuel right end for 2 yards, touchdown",6.74,7.0,1.0,2024,16
2.0,6:54,,,NYJ 15,7.0,13.0,Jake Moody kicks extra point good,0.0,0.0,1.0,2024,16
2.0,6:54,,,SFO 35,7.0,13.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,16
2.0,6:54,1.0,10.0,NYJ 30,7.0,13.0,Breece Hall left tackle for 3 yards (tackle by Javon Hargrave),0.94,0.8,1.0,2024,16
2.0,6:17,2.0,7.0,NYJ 33,7.0,13.0,Breece Hall right end for 2 yards (tackle by George Odum),0.8,0.37,1.0,2024,16
2.0,5:34,3.0,5.0,NYJ 35,7.0,13.0,"Aaron Rodgers pass incomplete short left intended for Tyler Conklin. Penalty on Tyron Smith: Illegal Formation, 5 yards (declined)",0.37,-1.04,1.0,2024,16
2.0,5:28,4.0,5.0,NYJ 35,7.0,13.0,"Thomas Morstead punts 60 yards, returned by Jacob Cowing for 7 yards (tackle by Jamien Sherwood)",-1.04,0.35,1.0,2024,16
2.0,5:18,1.0,10.0,SFO 12,7.0,13.0,Brock Purdy pass complete deep left to George Kittle for 26 yards (tackle by Tony Adams),-0.35,1.47,1.0,2024,16
2.0,4:38,1.0,10.0,SFO 38,7.0,13.0,Deebo Samuel left tackle for no gain (tackle by Quincy Williams),1.47,0.92,1.0,2024,16
2.0,3:56,2.0,10.0,SFO 38,7.0,13.0,Jordan Mason up the middle for 7 yards (tackle by D.J. Reed),0.92,1.16,1.0,2024,16
2.0,3:12,3.0,3.0,SFO 45,7.0,13.0,Brock Purdy pass complete short left to Jordan Mason for 5 yards (tackle by Quincy Williams),1.16,2.26,1.0,2024,16
2.0,2:28,1.0,10.0,NYJ 50,7.0,13.0,Brock Purdy pass complete short right to Deebo Samuel for 4 yards (tackle by C.J. Mosley),2.26,2.19,1.0,2024,16
2.0,2:00,2.0,7.0,NYJ 46,7.0,13.0,Deebo Samuel right guard for 4 yards (tackle by Jalyn Holmes and Quinnen Williams),2.19,2.02,1.0,2024,16
2.0,1:15,,,,,,Timeout #1 by San Francisco 49ers,,,1.0,2024,16
2.0,1:15,3.0,3.0,NYJ 42,7.0,13.0,Brock Purdy pass complete short right to Deebo Samuel for 15 yards (tackle by D.J. Reed),2.02,3.78,1.0,2024,16
2.0,0:31,1.0,10.0,NYJ 27,7.0,13.0,Brock Purdy pass complete short middle to Jauan Jennings for 14 yards (tackle by D.J. Reed),3.78,4.71,1.0,2024,16
2.0,0:24,,,,,,Timeout #2 by San Francisco 49ers,,,1.0,2024,16
2.0,0:24,1.0,10.0,NYJ 13,7.0,13.0,Brock Purdy pass complete short left to Deebo Samuel for no gain (tackle by Quinnen Williams and Micheal Clemons),4.71,4.05,1.0,2024,16
2.0,0:17,,,,,,Timeout #3 by San Francisco 49ers,,,1.0,2024,16
2.0,0:17,2.0,10.0,NYJ 13,7.0,13.0,Brock Purdy pass incomplete short right intended for Brandon Aiyuk,4.05,3.12,1.0,2024,16
2.0,0:12,,,,,,Timeout #1 by New York Jets,,,1.0,2024,16
2.0,0:12,3.0,10.0,NYJ 13,7.0,13.0,Brock Purdy pass incomplete short right intended for Brandon Aiyuk,3.12,2.57,1.0,2024,16
2.0,0:08,4.0,10.0,NYJ 13,7.0,16.0,Jake Moody 31 yard field goal good,2.57,3.0,1.0,2024,16
2.0,0:04,,,SFO 35,7.0,16.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,16
