Quarter,Time,Tm,Detail,HOU,IND,week,year,game_id
1.0,6:44,Texans,Ka'imi Fairbairn 51 yard field goal,3,0,1.0,2024,8
,5:12,Colts,Alec Pierce 60 yard pass from Anthony Richardson (Spencer Shrader kick),3,7,1.0,2024,8
,1:37,Texans,Ka'imi Fairbairn 50 yard field goal,6,7,1.0,2024,8
2.0,11:31,Texans,Stefon Diggs 9 yard pass from C.J. Stroud (run failed),12,7,1.0,2024,8
3.0,10:55,Texans,Ka'imi Fairbairn 51 yard field goal,15,7,1.0,2024,8
,5:40,Colts,Jonathan Taylor 5 yard rush (run failed),15,13,1.0,2024,8
4.0,13:41,Texans,Joe Mixon 3 yard rush (Ka'imi Fairbairn kick),22,13,1.0,2024,8
,12:12,Colts,Ashton Dulin 54 yard pass from Anthony Richardson (Spencer Shrader kick),22,20,1.0,2024,8
,4:42,Texans,Stefon Diggs 2 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),29,20,1.0,2024,8
,2:14,Colts,Anthony Richardson 3 yard rush (Spencer Shrader kick),29,27,1.0,2024,8
