Unnamed: 0,PIT,ATL,week,year,game_id
First Downs,16,15,1.0,2024,3
Rush-Yds-TDs,41-137-0,22-89-0,1.0,2024,3
Cmp-Att-Yd-TD-INT,17-23-156-0-0,16-26-155-1-2,1.0,2024,3
Sacked-Yards,2-23,2-18,1.0,2024,3
Net Pass Yards,133,137,1.0,2024,3
Total Yards,270,226,1.0,2024,3
Fumbles-Lost,1-0,1-1,1.0,2024,3
Turnovers,0,3,1.0,2024,3
Penalties-Yards,9-60,5-34,1.0,2024,3
Third Down Conv.,8-17,2-9,1.0,2024,3
Fourth Down Conv.,0-1,1-1,1.0,2024,3
Time of Possession,35:36,24:24,1.0,2024,3
