Unnamed: 0,JAX,MIA,week,year,game_id
First Downs,17,18,1.0,2024,9
Rush-Yds-TDs,26-128-1,25-81-1,1.0,2024,9
Cmp-Att-Yd-TD-INT,12-21-162-1-0,23-37-338-1-0,1.0,2024,9
Sacked-Yards,3-23,3-19,1.0,2024,9
Net Pass Yards,139,319,1.0,2024,9
Total Yards,267,400,1.0,2024,9
Fumbles-Lost,2-1,0-0,1.0,2024,9
Turnovers,1,0,1.0,2024,9
Penalties-Yards,8-71,9-103,1.0,2024,9
Third Down Conv.,2-10,8-16,1.0,2024,9
Fourth Down Conv.,0-1,0-2,1.0,2024,9
Time of Possession,26:50,33:10,1.0,2024,9
