Quarter,Time,Down,ToGo,Location,NWE,CIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Patriots won the coin toss and deferred, Bengals to receive the opening kickoff.",,,1.0,2024,7
1.0,15:00,,,NWE 35,0.0,0.0,"Joey Slye kicks off 65 yards, touchback.. Penalty on Dell Pettus: Illegal Formation, 5 yards (accepted)",0.0,1.27,1.0,2024,7
1.0,15:00,1.0,10.0,CIN 35,0.0,0.0,Zack Moss right guard for 4 yards (tackle by Jahlani Tavai and Daniel Ekuale),1.27,1.26,1.0,2024,7
1.0,14:23,2.0,6.0,CIN 39,0.0,0.0,"Joe Burrow sacked by Keion White for -3 yards. Joe Burrow fumbles (forced by Keion White), recovered by Joe Burrow at CIN-36",1.26,0.17,1.0,2024,7
1.0,13:25,3.0,9.0,CIN 36,0.0,0.0,Joe Burrow pass complete short right to Mike Gesicki for 7 yards (tackle by Marcus Jones and Ja'Whaun Bentley),0.17,-0.52,1.0,2024,7
1.0,12:57,4.0,2.0,CIN 43,0.0,0.0,"Ryan Rehkow punts 57 yards, touchback.",-0.52,-0.28,1.0,2024,7
1.0,12:47,1.0,10.0,NWE 20,0.0,0.0,Jacoby Brissett pass complete short left to Hunter Henry for 9 yards (tackle by Cam Taylor-Britt),0.28,0.95,1.0,2024,7
1.0,12:09,2.0,1.0,NWE 29,0.0,0.0,Rhamondre Stevenson right guard for 14 yards (tackle by Geno Stone),0.95,1.8,1.0,2024,7
1.0,11:40,1.0,10.0,NWE 43,0.0,0.0,Rhamondre Stevenson left guard for 4 yards (tackle by Vonn Bell and Germaine Pratt),1.8,1.79,1.0,2024,7
1.0,11:03,2.0,6.0,NWE 47,0.0,0.0,Rhamondre Stevenson right tackle for -2 yards (tackle by Logan Wilson),1.79,0.83,1.0,2024,7
1.0,10:03,3.0,8.0,NWE 45,0.0,0.0,Jacoby Brissett pass incomplete short left intended for K.J. Osborn (defended by Daxton Hill),0.83,-0.39,1.0,2024,7
1.0,9:59,4.0,8.0,NWE 45,0.0,0.0,"Bryce Baringer punts 44 yards, fair catch by Charlie Jones at CIN-11",-0.39,0.37,1.0,2024,7
1.0,9:52,1.0,10.0,CIN 11,0.0,0.0,Zack Moss right guard for 1 yard (tackle by Daniel Ekuale),-0.37,-0.71,1.0,2024,7
1.0,9:14,2.0,9.0,CIN 12,0.0,0.0,Zack Moss up the middle for 3 yards (tackle by Davon Godchaux and Ja'Whaun Bentley),-0.71,-0.95,1.0,2024,7
1.0,8:23,3.0,6.0,CIN 15,0.0,0.0,"Joe Burrow scrambles right end for no gain (tackle by Jabrill Peppers). Penalty on Alex Cappa: Offensive Holding, 1 yard (offset) . Penalty on Christian Gonzalez: Illegal Contact, 5 yards (offset) (no play)",-0.95,-0.95,1.0,2024,7
1.0,8:23,3.0,6.0,CIN 15,0.0,0.0,Joe Burrow pass complete short middle to Tanner Hudson for 5 yards (tackle by Marcus Jones),-0.95,-2.03,1.0,2024,7
1.0,7:28,4.0,1.0,CIN 20,0.0,0.0,"Ryan Rehkow punts 80 yards, touchback.",-2.03,-0.28,1.0,2024,7
1.0,7:18,1.0,10.0,NWE 20,0.0,0.0,Rhamondre Stevenson left tackle for 7 yards (tackle by Akeem Davis-Gaither and B.J. Hill),0.28,0.68,1.0,2024,7
1.0,6:37,2.0,3.0,NWE 27,0.0,0.0,Jacoby Brissett scrambles left end for 6 yards (tackle by Sheldon Rankins),0.68,1.14,1.0,2024,7
1.0,6:05,1.0,10.0,NWE 33,0.0,0.0,Jacoby Brissett pass complete short right to Austin Hooper for 16 yards (tackle by Geno Stone),1.14,2.19,1.0,2024,7
1.0,5:23,1.0,10.0,NWE 49,0.0,0.0,Antonio Gibson left guard for 2 yards (tackle by Daxton Hill),2.19,1.92,1.0,2024,7
1.0,4:42,2.0,8.0,CIN 49,0.0,0.0,Jacoby Brissett pass incomplete short right intended for Austin Hooper,1.92,1.22,1.0,2024,7
1.0,4:34,3.0,8.0,CIN 49,0.0,0.0,Jacoby Brissett pass complete short middle to Demario Douglas for 9 yards (tackle by DJ Turner),1.22,2.92,1.0,2024,7
1.0,3:57,1.0,10.0,CIN 40,0.0,0.0,Antonio Gibson right guard for 8 yards (tackle by Geno Stone),2.92,3.45,1.0,2024,7
1.0,3:19,2.0,2.0,CIN 32,0.0,0.0,Rhamondre Stevenson left guard for 3 yards (tackle by Germaine Pratt and Sam Hubbard),3.45,3.64,1.0,2024,7
