Quarter,Time,Down,ToGo,Location,HOU,IND,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,,1.0,2024,8
1.0,15:00,,,HOU 35,0.0,0.0,"Ka'imi Fairbairn kicks off 67 yards, returned by Anthony Gould for 29 yards (tackle by Del'Shawn Phillips and Calen Bullock)",0.0,0.74,1.0,2024,8
1.0,14:56,1.0,10.0,IND 27,0.0,0.0,Jonathan Taylor left guard for 5 yards (tackle by Azeez Al-Shaair and Folorunso Fatukasi),0.74,0.87,1.0,2024,8
1.0,14:20,2.0,5.0,IND 32,0.0,0.0,Anthony Richardson pass complete short right to Michael Pittman for 13 yards (tackle by Jalen Pitre),0.87,1.93,1.0,2024,8
1.0,13:54,1.0,10.0,IND 45,0.0,0.0,Jonathan Taylor right end for -2 yards (tackle by Will Anderson),1.93,1.11,1.0,2024,8
1.0,13:08,2.0,12.0,IND 43,0.0,0.0,Anthony Richardson pass complete short right to Michael Pittman for 6 yards (tackle by Henry To'oTo'o and Azeez Al-Shaair),1.11,1.22,1.0,2024,8
1.0,12:27,3.0,6.0,IND 49,0.0,0.0,Jonathan Taylor up the middle for 5 yards (tackle by Jalen Pitre and Derek Barnett),1.22,0.2,1.0,2024,8
1.0,11:46,4.0,1.0,HOU 46,0.0,0.0,Anthony Richardson pass incomplete short right intended for Adonai Mitchell,0.2,-2.06,1.0,2024,8
1.0,11:40,1.0,10.0,HOU 47,0.0,0.0,C.J. Stroud pass incomplete short left intended for Tank Dell,2.06,1.52,1.0,2024,8
1.0,11:37,2.0,10.0,HOU 47,0.0,0.0,Joe Mixon right guard for 1 yard (tackle by DeForest Buckner),1.52,0.96,1.0,2024,8
1.0,10:51,3.0,9.0,HOU 48,0.0,0.0,"Penalty on Laremy Tunsil: False Start, 5 yards (accepted) (no play)",0.96,0.3,1.0,2024,8
1.0,10:30,3.0,14.0,HOU 43,0.0,0.0,C.J. Stroud scrambles up the middle for 13 yards (tackle by E.J. Speed),0.3,0.33,1.0,2024,8
1.0,9:34,4.0,1.0,IND 44,0.0,0.0,C.J. Stroud pass complete short middle to Brevin Jordan for 3 yards (tackle by Julian Blackmon and Zaire Franklin),0.33,2.85,1.0,2024,8
1.0,8:59,1.0,10.0,IND 41,0.0,0.0,C.J. Stroud sacked by Tyquan Lewis for -8 yards,2.85,1.23,1.0,2024,8
1.0,8:19,2.0,18.0,IND 49,0.0,0.0,C.J. Stroud pass complete short left to Joe Mixon for 7 yards (tackle by Kenny Moore),1.23,1.49,1.0,2024,8
1.0,7:37,3.0,11.0,IND 42,0.0,0.0,C.J. Stroud pass complete short right to Stefon Diggs for 10 yards (tackle by Julian Blackmon),1.49,1.31,1.0,2024,8
1.0,6:48,4.0,1.0,IND 32,3.0,0.0,Ka'imi Fairbairn 51 yard field goal good,1.31,3.0,1.0,2024,8
1.0,6:44,,,HOU 35,3.0,0.0,"Ka'imi Fairbairn kicks off 60 yards, returned by Anthony Gould for 22 yards (tackle by British Brooks)",0.0,0.74,1.0,2024,8
1.0,6:39,1.0,10.0,IND 27,3.0,0.0,Anthony Richardson up the middle for 8 yards (tackle by Khalil Davis),0.74,1.28,1.0,2024,8
1.0,6:02,2.0,2.0,IND 35,3.0,0.0,Jonathan Taylor left end for 5 yards (tackle by Khalil Davis and Kamari Lassiter),1.28,1.6,1.0,2024,8
1.0,5:20,1.0,10.0,IND 40,3.0,6.0,"Anthony Richardson pass complete deep middle to Alec Pierce for 60 yards, touchdown",1.6,7.0,1.0,2024,8
1.0,5:12,,,HOU 15,3.0,7.0,Spencer Shrader kicks extra point good,0.0,0.0,1.0,2024,8
1.0,5:12,,,IND 35,3.0,7.0,"Spencer Shrader kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,8
1.0,5:12,1.0,10.0,HOU 30,3.0,7.0,C.J. Stroud pass complete short right to Dalton Schultz for 4 yards (tackle by Kenny Moore),0.94,0.93,1.0,2024,8
1.0,4:42,2.0,6.0,HOU 34,3.0,7.0,Joe Mixon left tackle for 11 yards (tackle by Nick Cross),0.93,1.93,1.0,2024,8
1.0,4:21,1.0,10.0,HOU 45,3.0,7.0,C.J. Stroud pass complete deep right to Tank Dell for 23 yards (tackle by E.J. Speed and Jaylon Jones),1.93,3.45,1.0,2024,8
1.0,3:44,1.0,10.0,IND 32,3.0,7.0,C.J. Stroud pass complete short middle to Stefon Diggs for 2 yards (tackle by E.J. Speed),3.45,3.17,1.0,2024,8
1.0,3:06,2.0,8.0,IND 30,3.0,7.0,Joe Mixon left end for 3 yards (tackle by Tyquan Lewis and Zaire Franklin),3.17,2.87,1.0,2024,8
1.0,2:24,3.0,5.0,IND 27,3.0,7.0,C.J. Stroud sacked by Kwity Paye for -5 yards,2.87,1.24,1.0,2024,8
1.0,1:42,4.0,10.0,IND 32,6.0,7.0,Ka'imi Fairbairn 50 yard field goal good,1.24,3.0,1.0,2024,8
1.0,1:37,,,HOU 35,6.0,7.0,"Ka'imi Fairbairn kicks off 65 yards, touchback., touchback.",0.0,0.94,1.0,2024,8
1.0,1:37,1.0,10.0,IND 30,6.0,7.0,Anthony Richardson pass complete short right to Michael Pittman for 4 yards (tackle by Derek Stingley),0.94,0.93,1.0,2024,8
1.0,1:02,2.0,6.0,IND 34,6.0,7.0,Anthony Richardson pass incomplete short left intended for Michael Pittman (defended by Azeez Al-Shaair),0.93,0.23,1.0,2024,8
1.0,0:55,3.0,6.0,IND 34,6.0,7.0,Anthony Richardson sacked by Mario Edwards for -11 yards,0.23,-1.83,1.0,2024,8
1.0,0:05,4.0,17.0,IND 23,6.0,7.0,Rigoberto Sanchez punts 58 yards downed by Chris Lammons,-1.83,-0.15,1.0,2024,8
2.0,15:00,1.0,10.0,HOU 19,6.0,7.0,Stefon Diggs left end for 6 yards (tackle by Nick Cross),0.15,0.48,1.0,2024,8
2.0,14:22,2.0,4.0,HOU 25,6.0,7.0,Joe Mixon right end for 3 yards (tackle by Zaire Franklin and Kwity Paye),0.48,0.1,1.0,2024,8
2.0,13:43,3.0,1.0,HOU 28,6.0,7.0,Joe Mixon left end for 4 yards (tackle by Jaylon Jones),0.1,1.07,1.0,2024,8
2.0,12:58,1.0,10.0,HOU 32,6.0,7.0,C.J. Stroud pass complete deep middle to Nico Collins for 55 yards (tackle by Nick Cross and Julius Brents),1.07,4.71,1.0,2024,8
2.0,12:24,1.0,10.0,IND 13,6.0,7.0,Dameon Pierce left tackle for 4 yards (tackle by E.J. Speed),4.71,4.77,1.0,2024,8
2.0,11:44,2.0,6.0,IND 9,6.0,7.0,C.J. Stroud pass incomplete short right intended for Tank Dell,4.77,3.88,1.0,2024,8
2.0,11:35,3.0,6.0,IND 9,12.0,7.0,"C.J. Stroud pass complete short middle to Stefon Diggs for 9 yards, touchdown",3.88,7.0,1.0,2024,8
2.0,11:31,,,IND 2,12.0,7.0,"Two Point Attempt: Joe Mixon rushes, conversion fails.",1.0,-1.0,1.0,2024,8
2.0,11:31,,,HOU 35,12.0,7.0,"Ka'imi Fairbairn kicks off 66 yards, returned by Anthony Gould for 32 yards (tackle by Jake Hansen and Kris Boyd)",0.0,1.0,1.0,2024,8
2.0,11:24,1.0,10.0,IND 31,12.0,7.0,Anthony Richardson left end for 13 yards (tackle by Henry To'oTo'o and Calen Bullock),1.0,1.86,1.0,2024,8
2.0,10:47,1.0,10.0,IND 44,12.0,7.0,Anthony Richardson pass complete short right to Adonai Mitchell for 2 yards (tackle by Derek Stingley),1.86,1.59,1.0,2024,8
2.0,10:15,2.0,8.0,IND 46,12.0,7.0,Anthony Richardson pass incomplete short left intended for Adonai Mitchell,1.59,0.89,1.0,2024,8
2.0,10:03,3.0,8.0,IND 46,12.0,7.0,"Anthony Richardson pass incomplete short left intended for Michael Pittman (defended by Jalen Pitre) (defended by Kamari Lassiter). Penalty on Braden Smith: Illegal Shift, 5 yards (declined)",0.89,-0.32,1.0,2024,8
2.0,9:56,4.0,8.0,IND 46,12.0,7.0,"Rigoberto Sanchez punts 39 yards, fair catch by Steven Sims at HOU-15",-0.32,0.22,1.0,2024,8
2.0,9:50,1.0,10.0,HOU 15,12.0,7.0,Joe Mixon left tackle for 8 yards (tackle by Nick Cross and Julian Blackmon),-0.22,0.48,1.0,2024,8
2.0,9:22,2.0,2.0,HOU 23,12.0,7.0,C.J. Stroud pass incomplete short left intended for Nico Collins,0.48,-0.39,1.0,2024,8
2.0,9:17,,,,,,Timeout #1 by Houston Texans,,,1.0,2024,8
2.0,9:17,3.0,2.0,HOU 23,12.0,7.0,"Penalty on Laremy Tunsil: False Start, 5 yards (accepted) (no play)",-0.39,-1.0,1.0,2024,8
2.0,9:17,3.0,7.0,HOU 18,12.0,7.0,C.J. Stroud sacked by DeForest Buckner for -7 yards,-1.0,-2.49,1.0,2024,8
2.0,8:36,4.0,14.0,HOU 11,12.0,7.0,"Tommy Townsend punts 56 yards, fair catch by Anthony Gould at IND-33",-2.49,-1.14,1.0,2024,8
2.0,8:29,1.0,10.0,IND 33,12.0,7.0,Jonathan Taylor right tackle for 1 yard (tackle by Folorunso Fatukasi and Henry To'oTo'o),1.14,0.73,1.0,2024,8
2.0,7:56,2.0,9.0,IND 34,12.0,7.0,Jonathan Taylor right guard for 4 yards (tackle by Folorunso Fatukasi),0.73,0.56,1.0,2024,8
2.0,7:16,3.0,5.0,IND 38,12.0,7.0,Anthony Richardson scrambles up the middle for 19 yards (tackle by Derek Stingley),0.56,2.72,1.0,2024,8
2.0,6:44,1.0,10.0,HOU 43,12.0,7.0,Jonathan Taylor right tackle for 5 yards (tackle by Danielle Hunter and Mario Edwards),2.72,2.85,1.0,2024,8
