Unnamed: 0,DAL,CLE,week,year,game_id
First Downs,15,15,1.0,2024,13
Rush-Yds-TDs,25-102-1,19-93-1,1.0,2024,13
Cmp-Att-Yd-TD-INT,19-32-179-1-0,24-45-169-1-2,1.0,2024,13
Sacked-Yards,3-16,6-32,1.0,2024,13
Net Pass Yards,163,137,1.0,2024,13
Total Yards,265,230,1.0,2024,13
Fumbles-Lost,1-0,1-0,1.0,2024,13
Turnovers,0,2,1.0,2024,13
Penalties-Yards,11-85,11-64,1.0,2024,13
Third Down Conv.,4-14,2-15,1.0,2024,13
Fourth Down Conv.,0-0,3-5,1.0,2024,13
Time of Possession,29:06,30:54,1.0,2024,13
