Quarter,Time,Down,ToGo,Location,MIN,NYG,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Vikings won the coin toss and deferred, Giants to receive the opening kickoff.",,,1.0,2024,10
1.0,15:00,,,MIN 35,0.0,0.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,10
1.0,15:00,1.0,10.0,NYG 30,0.0,0.0,Devin Singletary right guard for 2 yards (tackle by Blake Cashman and Harrison Phillips),0.94,0.66,1.0,2024,10
1.0,14:21,2.0,8.0,NYG 32,0.0,0.0,Daniel Jones pass complete short left to Devin Singletary for -6 yards (tackle by Byron Murphy),0.66,-0.82,1.0,2024,10
1.0,13:31,3.0,14.0,NYG 26,0.0,0.0,"Penalty on Daniel Jones: Delay of Game, 5 yards (accepted) (no play)",-0.82,-1.48,1.0,2024,10
1.0,13:19,3.0,19.0,NYG 21,0.0,0.0,Daniel Jones pass incomplete short left intended for Theo Johnson,-1.48,-1.96,1.0,2024,10
1.0,13:09,4.0,19.0,NYG 21,0.0,0.0,"Jamie Gillan punts 54 yards, returned by Brandon Powell for no gain (tackle by Ty Summers). Penalty on Jay Ward: Offensive Holding, 10 yards (accepted)",-1.96,0.22,1.0,2024,10
1.0,12:59,1.0,10.0,MIN 15,0.0,0.0,Aaron Jones up the middle for 1 yard (tackle by Rakeem Nunez-Roches and Dexter Lawrence),-0.22,-0.58,1.0,2024,10
1.0,12:35,2.0,9.0,MIN 16,0.0,0.0,Sam Darnold sacked by Dexter Lawrence for -7 yards,-0.58,-2.12,1.0,2024,10
1.0,11:50,3.0,16.0,MIN 9,0.0,0.0,"Sam Darnold pass complete short right to C.J. Ham for 8 yards. C.J. Ham fumbles (forced by Andru Phillips), recovered by Bobby Okereke at MIN-21 and returned for 1 yard",-2.12,-4.24,1.0,2024,10
1.0,11:23,1.0,10.0,MIN 20,0.0,0.0,Eric Gray left end for no gain (tackle by Ivan Pace),4.24,3.69,1.0,2024,10
1.0,10:45,2.0,10.0,MIN 20,0.0,0.0,Daniel Jones pass complete short right to Daniel Bellinger for 3 yards (tackle by Blake Cashman),3.69,3.36,1.0,2024,10
1.0,9:56,3.0,7.0,MIN 17,0.0,0.0,"Daniel Jones scrambles right end for 7 yards (tackle by Harrison Smith and Blake Cashman). Penalty on Dallas Turner: Defensive Offside, 5 yards (declined)",3.36,4.91,1.0,2024,10
1.0,9:26,1.0,10.0,MIN 10,0.0,0.0,Devin Singletary right guard for 4 yards (tackle by Josh Metellus),4.91,4.95,1.0,2024,10
1.0,8:44,2.0,6.0,MIN 6,0.0,0.0,Daniel Jones left end for 1 yard (tackle by Andrew Van Ginkel and Harrison Phillips),4.95,4.26,1.0,2024,10
1.0,8:02,3.0,5.0,MIN 5,0.0,0.0,Daniel Jones sacked by Andrew Van Ginkel for no gain,4.26,3.01,1.0,2024,10
1.0,7:19,4.0,5.0,MIN 5,0.0,3.0,Graham Gano 23 yard field goal good,3.01,3.0,1.0,2024,10
1.0,7:16,,,NYG 35,0.0,3.0,"Graham Gano kicks off 65 yards, touchback.. Penalty on Andru Phillips: Illegal Formation, 5 yards (accepted)",0.0,1.27,1.0,2024,10
1.0,7:16,1.0,10.0,MIN 35,0.0,3.0,"Aaron Jones left end for no gain (tackle by Nick McCloud). Penalty on Garrett Bradbury: Offensive Holding, 10 yards (accepted) (no play)",1.27,0.61,1.0,2024,10
1.0,6:50,1.0,20.0,MIN 25,0.0,3.0,Sam Darnold scrambles up the middle for 3 yards (tackle by Cordale Flott and Darius Muasau),0.61,-0.22,1.0,2024,10
1.0,5:54,2.0,17.0,MIN 28,0.0,3.0,Sam Darnold pass complete short right to Aaron Jones for 9 yards (tackle by Deonte Banks),-0.22,0.3,1.0,2024,10
1.0,5:30,3.0,8.0,MIN 37,0.0,3.0,"Sam Darnold pass incomplete deep right intended for Jordan Addison. Penalty on Adoree' Jackson: Defensive Pass Interference, 36 yards (accepted) (no play)",0.3,3.78,1.0,2024,10
1.0,5:26,1.0,10.0,NYG 27,0.0,3.0,Sam Darnold pass complete deep middle to Josh Oliver for 22 yards (tackle by Tyler Nubin),3.78,6.06,1.0,2024,10
