Quarter,Time,Tm,Detail,LVR,LAC,week,year,game_id
1.0,4:22,Chargers,Cameron Dicker 53 yard field goal,0,3,1.0,2024,12
,0:45,Raiders,Alexander Mattison 31 yard pass from Gardner Minshew II (Daniel Carlson kick),7,3,1.0,2024,12
2.0,0:26,Chargers,Cameron Dicker 25 yard field goal,7,6,1.0,2024,12
3.0,9:08,Chargers,Cameron Dicker 24 yard field goal,7,9,1.0,2024,12
4.0,14:55,Chargers,J.K. Dobbins 12 yard rush (Cameron Dicker kick),7,16,1.0,2024,12
,10:30,Raiders,Daniel Carlson 32 yard field goal,10,16,1.0,2024,12
,3:40,Chargers,Ladd McConkey 10 yard pass from Justin Herbert (run failed),10,22,1.0,2024,12
