Unnamed: 0,LVR,LAC,week,year,game_id
First Downs,14,11,1.0,2024,12
Rush-Yds-TDs,22-71-0,27-176-1,1.0,2024,12
Cmp-Att-Yd-TD-INT,25-33-257-1-1,17-26-144-1-0,1.0,2024,12
Sacked-Yards,4-32,1-4,1.0,2024,12
Net Pass Yards,225,140,1.0,2024,12
Total Yards,296,316,1.0,2024,12
Fumbles-Lost,2-2,0-0,1.0,2024,12
Turnovers,3,0,1.0,2024,12
Penalties-Yards,2-15,7-50,1.0,2024,12
Third Down Conv.,5-14,4-15,1.0,2024,12
Fourth Down Conv.,0-1,0-0,1.0,2024,12
Time of Possession,31:44,28:16,1.0,2024,12
