Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Dak Prescott,DAL,19,32,179,8,22.9,290,9.1,79,4.2,2.5,100,5.3,2,6.3%,5,15.6%,3,9,4,2,9,25.7%,0,,1.0,2024,13
Deshaun Watson,CLE,24,45,169,8,15.7,395,8.8,67,2.8,1.5,102,4.3,5,11.6%,10,23.3%,6,12,7,12,25,44.6%,5,7.8,1.0,2024,13
