Unnamed: 0_level_0,Unnamed: 1_level_0,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,week,year,game_id
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP,,,
Raiders,-11.0,-14.87,-1.04,-13.83,-15.24,5.13,2.84,-1.87,0.0,0.65,-3.21,5.84,4.71,-2.13,-4.56,1.0,2024,12
Chargers,11.0,-5.13,-2.84,1.87,0.0,14.87,1.04,13.83,15.24,-0.65,-5.84,3.21,2.13,-4.71,4.56,1.0,2024,12
