Unnamed: 0_level_0,Unnamed: 1_level_0,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,week,year,game_id
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP,,,
Lions,6.0,9.52,-2.7,13.57,-3.45,-8.78,-11.88,1.63,4.85,3.9,-4.17,5.64,4.59,-1.51,-0.65,1.0,2024,15
Rams,-6.0,8.78,11.88,-1.63,-4.85,-9.52,2.7,-13.57,3.45,-3.9,-5.64,4.17,1.51,-4.59,0.65,1.0,2024,15
