Quarter,Time,Down,ToGo,Location,JAX,MIA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jaguars won the coin toss and deferred, Dolphins to receive the opening kickoff.",,,1.0,2024,9
1.0,15:00,,,JAX 35,0.0,0.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.28,1.0,2024,9
1.0,15:00,1.0,10.0,MIA 20,0.0,0.0,Raheem Mostert right end for no gain (tackle by Foyesade Oluokun and Antonio Johnson),0.28,-0.27,1.0,2024,9
1.0,14:19,2.0,10.0,MIA 20,0.0,0.0,De'Von Achane left end for -3 yards (tackle by Devin Lloyd),-0.27,-1.51,1.0,2024,9
1.0,13:40,3.0,13.0,MIA 17,0.0,0.0,Tua Tagovailoa pass complete short right to De'Von Achane for 39 yards (tackle by Ronald Darby),-1.51,2.65,1.0,2024,9
1.0,13:03,1.0,10.0,JAX 44,0.0,0.0,Tua Tagovailoa sacked by Travon Walker for no gain,2.65,2.11,1.0,2024,9
1.0,12:29,2.0,10.0,JAX 44,0.0,0.0,Tua Tagovailoa pass complete short left to Tyreek Hill for 2 yards (tackle by Ronald Darby),2.11,1.69,1.0,2024,9
1.0,11:47,3.0,8.0,JAX 42,0.0,0.0,Tua Tagovailoa pass incomplete deep right intended for Tyreek Hill,1.69,0.46,1.0,2024,9
1.0,11:41,4.0,8.0,JAX 42,0.0,0.0,Tua Tagovailoa pass incomplete short middle intended for Braxton Berrios (defended by Darnell Savage),0.46,-1.73,1.0,2024,9
1.0,11:37,1.0,10.0,JAX 42,0.0,0.0,Trevor Lawrence sacked by Calais Campbell for -13 yards,1.73,-0.57,1.0,2024,9
1.0,10:55,2.0,23.0,JAX 29,0.0,0.0,Travis Etienne right guard for -1 yards (tackle by Calais Campbell),-0.57,-1.35,1.0,2024,9
1.0,10:19,3.0,24.0,JAX 28,0.0,0.0,Trevor Lawrence pass incomplete deep middle intended for Evan Engram,-1.35,-1.5,1.0,2024,9
1.0,10:13,4.0,24.0,JAX 28,0.0,0.0,"Logan Cooke punts 48 yards, returned by Braxton Berrios for 7 yards (tackle by Andre Cisco)",-1.5,-1.0,1.0,2024,9
1.0,10:02,1.0,10.0,MIA 31,0.0,0.0,Raheem Mostert left end for 5 yards (tackle by Josh Hines-Allen and Devin Lloyd),1.0,1.14,1.0,2024,9
1.0,9:23,2.0,5.0,MIA 36,0.0,0.0,Tua Tagovailoa pass complete short right to De'Von Achane for 3 yards (tackle by Foyesade Oluokun),1.14,0.83,1.0,2024,9
1.0,8:44,3.0,2.0,MIA 39,0.0,0.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 10 yards (tackle by Antonio Johnson),0.83,2.19,1.0,2024,9
1.0,8:10,1.0,10.0,MIA 49,0.0,0.0,Tua Tagovailoa pass incomplete deep left intended for Tyreek Hill,2.19,1.65,1.0,2024,9
1.0,8:03,2.0,10.0,MIA 49,0.0,0.0,Tua Tagovailoa pass incomplete short right intended for Jonnu Smith,1.65,0.96,1.0,2024,9
1.0,8:01,,,,,,Timeout #1 by Miami Dolphins,,,1.0,2024,9
1.0,8:01,3.0,10.0,MIA 49,0.0,0.0,"Tua Tagovailoa pass incomplete deep right intended for Tyreek Hill (defended by Ronald Darby). Penalty on Jonnu Smith: Offensive Offside, 5 yards (declined)",0.96,-0.13,1.0,2024,9
1.0,7:57,4.0,10.0,MIA 49,0.0,0.0,Jake Bailey punts 47 yards out of bounds,-0.13,0.38,1.0,2024,9
1.0,7:49,1.0,10.0,JAX 4,0.0,0.0,Tank Bigsby right tackle for 17 yards (tackle by Jordan Poyer),-0.38,0.34,1.0,2024,9
1.0,7:18,1.0,10.0,JAX 21,0.0,0.0,Tank Bigsby left guard for 7 yards (tackle by Jordan Poyer and Jevon Holland),0.34,0.75,1.0,2024,9
1.0,6:45,2.0,3.0,JAX 28,0.0,0.0,Trevor Lawrence pass complete deep left to Gabriel Davis for 20 yards (tackle by Jordan Poyer and David Long),0.75,2.13,1.0,2024,9
1.0,6:08,1.0,10.0,JAX 48,0.0,0.0,Travis Etienne right tackle for 3 yards (tackle by David Long),2.13,1.99,1.0,2024,9
1.0,5:30,2.0,7.0,MIA 49,0.0,0.0,Trevor Lawrence scrambles left tackle for 8 yards (tackle by Kader Kohou),1.99,2.85,1.0,2024,9
1.0,4:34,1.0,10.0,MIA 41,0.0,0.0,"Trevor Lawrence pass incomplete deep middle intended for Brian Thomas. Penalty on Jalen Ramsey: Defensive Pass Interference, 40 yards (accepted) (no play)",2.85,6.97,1.0,2024,9
1.0,4:34,1.0,1.0,MIA 1,6.0,0.0,"Travis Etienne right guard for 1 yard, touchdown",6.97,7.0,1.0,2024,9
1.0,4:31,,,MIA 15,7.0,0.0,Cam Little kicks extra point good,0.0,0.0,1.0,2024,9
1.0,4:31,,,JAX 35,7.0,0.0,"Cam Little kicks off 65 yards, touchback.. Penalty on Anthony Walker: Illegal Formation, 5 yards (accepted)",0.0,0.61,1.0,2024,9
1.0,4:31,1.0,10.0,MIA 25,7.0,0.0,De'Von Achane up the middle for -1 yards (tackle by DaVon Hamilton),0.61,-0.07,1.0,2024,9
1.0,3:50,2.0,11.0,MIA 24,7.0,0.0,"Tua Tagovailoa scrambles left end for no gain (tackle by Chad Muma). Penalty on Robert Jones: Offensive Holding, 10 yards (accepted) (no play)",-0.07,-1.54,1.0,2024,9
1.0,3:19,2.0,21.0,MIA 14,7.0,0.0,Tua Tagovailoa pass complete short left to Jonnu Smith for 7 yards (tackle by Tyson Campbell),-1.54,-1.15,1.0,2024,9
1.0,2:47,3.0,14.0,MIA 21,7.0,0.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 10 yards (tackle by Ronald Darby),-1.15,-1.31,1.0,2024,9
1.0,2:12,4.0,4.0,MIA 31,7.0,0.0,"Jake Bailey punts 57 yards, fair catch by Devin Duvernay at JAC-12",-1.31,0.35,1.0,2024,9
1.0,2:03,1.0,10.0,JAX 12,7.0,0.0,Travis Etienne left tackle for 4 yards (tackle by Calais Campbell),-0.35,-0.37,1.0,2024,9
1.0,1:22,2.0,6.0,JAX 16,7.0,0.0,Trevor Lawrence pass complete short middle to Brian Thomas for 6 yards (tackle by David Long and Kendall Fuller),-0.37,0.41,1.0,2024,9
1.0,0:38,1.0,10.0,JAX 22,7.0,0.0,Travis Etienne right tackle for 1 yard (tackle by Zach Sieler and Jordyn Brooks),0.41,0.0,1.0,2024,9
2.0,15:00,2.0,9.0,JAX 23,7.0,0.0,Trevor Lawrence pass incomplete short left intended for Travis Etienne,0.0,-0.69,1.0,2024,9
2.0,14:57,3.0,9.0,JAX 23,7.0,0.0,Trevor Lawrence pass incomplete deep left intended for Christian Kirk,-0.69,-1.83,1.0,2024,9
2.0,14:52,4.0,9.0,JAX 23,7.0,0.0,"Logan Cooke punts 67 yards, returned by Tyreek Hill for 11 yards (tackle by Luke Farrell)",-1.83,-0.34,1.0,2024,9
2.0,14:39,1.0,10.0,MIA 21,7.0,0.0,Tua Tagovailoa pass complete short right to Jaylen Waddle for 12 yards (tackle by Antonio Johnson and Andre Cisco),0.34,1.14,1.0,2024,9
2.0,13:56,1.0,10.0,MIA 33,7.0,0.0,"Tua Tagovailoa pass incomplete deep left intended for Braxton Berrios. Penalty on Josh Hines-Allen: Roughing the Passer, 15 yards (accepted) (no play)",1.14,2.13,1.0,2024,9
2.0,13:51,1.0,10.0,MIA 48,7.0,0.0,Tua Tagovailoa pass incomplete short left intended for Durham Smythe,2.13,1.58,1.0,2024,9
2.0,13:47,2.0,10.0,MIA 48,7.0,0.0,"Tua Tagovailoa pass complete short left to Braxton Berrios for no gain (tackle by Darnell Savage). Penalty on Travon Walker: Defensive Offside, 5 yards (accepted) (no play)",1.58,2.26,1.0,2024,9
2.0,13:20,2.0,5.0,JAX 47,7.0,0.0,De'Von Achane right end for 2 yards (tackle by Jarrian Jones and Travon Walker),2.26,1.82,1.0,2024,9
2.0,12:37,,,,,,Timeout #2 by Miami Dolphins,,,1.0,2024,9
