Unnamed: 0,TEN,CHI,week,year,game_id
First Downs,16,11,1.0,2024,6
Rush-Yds-TDs,26-140-1,22-84-0,1.0,2024,6
Cmp-Att-Yd-TD-INT,19-32-127-1-2,14-29-93-0-0,1.0,2024,6
Sacked-Yards,3-23,2-29,1.0,2024,6
Net Pass Yards,104,64,1.0,2024,6
Total Yards,244,148,1.0,2024,6
Fumbles-Lost,1-1,3-1,1.0,2024,6
Turnovers,3,1,1.0,2024,6
Penalties-Yards,8-50,7-55,1.0,2024,6
Third Down Conv.,3-14,2-13,1.0,2024,6
Fourth Down Conv.,1-2,2-2,1.0,2024,6
Time of Possession,34:54,25:06,1.0,2024,6
