Quarter,Time,Tm,Detail,WAS,TAM,week,year,game_id
1.0,11:34,Buccaneers,Chase McLaughlin 56 yard field goal,0,3,1.0,2024,14
,5:08,Buccaneers,Chase McLaughlin 34 yard field goal,0,6,1.0,2024,14
2.0,10:53,Buccaneers,Mike Evans 17 yard pass from Baker Mayfield (Chase McLaughlin kick),0,13,1.0,2024,14
,7:17,Commanders,Brian Robinson Jr. 7 yard rush (Cade York kick),7,13,1.0,2024,14
,0:16,Buccaneers,Chase McLaughlin 29 yard field goal,7,16,1.0,2024,14
3.0,7:11,Buccaneers,Chris Godwin 4 yard pass from Baker Mayfield (Chase McLaughlin kick),7,23,1.0,2024,14
,1:52,Commanders,Jayden Daniels 1 yard rush (Cade York kick),14,23,1.0,2024,14
4.0,14:55,Buccaneers,Jalen McMillan 32 yard pass from Baker Mayfield (Chase McLaughlin kick),14,30,1.0,2024,14
,3:29,Buccaneers,Mike Evans 1 yard pass from Baker Mayfield (Chase McLaughlin kick),14,37,1.0,2024,14
,1:12,Commanders,Jayden Daniels 1 yard rush (pass failed),20,37,1.0,2024,14
