Unnamed: 0,MIN,NYG,week,year,game_id
First Downs,17,14,1.0,2024,10
Rush-Yds-TDs,26-111-1,21-74-0,1.0,2024,10
Cmp-Att-Yd-TD-INT,19-24-208-2-1,22-42-186-0-2,1.0,2024,10
Sacked-Yards,1-7,5-20,1.0,2024,10
Net Pass Yards,201,166,1.0,2024,10
Total Yards,312,240,1.0,2024,10
Fumbles-Lost,1-1,1-0,1.0,2024,10
Turnovers,2,2,1.0,2024,10
Penalties-Yards,7-63,9-95,1.0,2024,10
Third Down Conv.,3-10,7-18,1.0,2024,10
Fourth Down Conv.,1-1,1-3,1.0,2024,10
Time of Possession,27:34,32:26,1.0,2024,10
